musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,speed,checkName
Ryan Redington,7,3/5 18:54:00,14,3/5 19:08:00,13,0h 14m,4h 0m,3/5 14:54:00,8.75,Rohn
Mitch Seavey,13,3/5 19:02:00,14,3/5 19:27:00,14,0h 25m,3h 44m,3/5 15:18:00,9.38,Rohn
Ray Redington Jr,17,3/5 19:22:00,16,3/5 19:36:00,16,0h 14m,4h 4m,3/5 15:18:00,8.61,Rohn
Joar Leifseth Ulsom,33,3/5 19:35:00,16,3/5 19:42:00,16,0h 7m,4h 0m,3/5 15:35:00,8.75,Rohn
Jessie Royer,36,3/5 19:54:00,15,3/5 20:14:00,15,0h 20m,4h 3m,3/5 15:51:00,8.64,Rohn
Aliy Zirkle,31,3/5 20:15:00,16,3/5 20:35:00,16,0h 20m,4h 22m,3/5 15:53:00,8.02,Rohn
Richie Diehl,29,3/5 21:42:00,16,3/5 22:01:00,16,0h 19m,8h 14m,3/5 13:28:00,4.25,Rohn
Ketil Reitan,54,3/5 22:04:00,15,3/5 22:04:00,15,0h 0m,4h 11m,3/5 17:53:00,8.37,Rohn
Michelle Phillips,18,3/5 21:51:00,15,3/5 22:24:00,15,0h 33m,4h 15m,3/5 17:36:00,8.24,Rohn
Ramey Smyth,21,3/5 22:38:00,16,3/5 22:49:00,16,0h 11m,4h 27m,3/5 18:11:00,7.87,Rohn
Rick Casillo,9,3/5 22:41:00,14,3/5 23:04:00,14,0h 23m,4h 4m,3/5 18:37:00,8.61,Rohn
Wade Marrs,11,3/5 18:45:00,15,3/5 23:25:00,15,4h 40m,3h 54m,3/5 14:51:00,8.97,Rohn
Nicolas Petit,46,3/5 19:04:00,16,3/5 23:29:00,16,4h 25m,3h 54m,3/5 15:10:00,8.97,Rohn
Jessie Holmes,41,3/5 20:38:00,16,3/5 23:29:00,16,2h 51m,8h 10m,3/5 12:28:00,4.29,Rohn
Peter Kaiser,30,3/5 20:16:00,15,3/6 00:16:00,15,4h 0m,4h 4m,3/5 16:12:00,8.61,Rohn
Aaron Burmeister,64,3/5 20:32:00,16,3/6 00:18:00,15,3h 46m,4h 9m,3/5 16:23:00,8.43,Rohn
Linwood Fiedler,8,3/5 20:13:00,15,3/6 00:44:00,15,4h 31m,4h 3m,3/5 16:10:00,8.64,Rohn
Kelly Maixner,52,3/5 21:22:00,16,3/6 01:36:00,16,4h 14m,4h 7m,3/5 17:15:00,8.50,Rohn
Cody Strathe,2,3/5 21:12:00,16,3/6 01:40:00,15,4h 28m,3h 54m,3/5 17:18:00,8.97,Rohn
Hugh Neff,68,3/5 21:10:00,15,3/6 01:52:00,15,4h 42m,4h 20m,3/5 16:50:00,8.08,Rohn
Larry Daugherty,14,3/6 02:04:00,15,3/6 02:31:00,15,0h 27m,9h 21m,3/5 16:43:00,3.74,Rohn
Lars Monsen,61,3/5 21:27:00,15,3/6 02:42:00,15,5h 15m,4h 13m,3/5 17:14:00,8.30,Rohn
Travis Beals,60,3/5 22:34:00,15,3/6 02:50:00,14,4h 16m,4h 12m,3/5 18:22:00,8.33,Rohn
Mats Pettersson,3,3/5 21:05:00,16,3/6 02:55:00,16,5h 50m,4h 10m,3/5 16:55:00,8.40,Rohn
Anna Berington,4,3/5 22:58:00,13,3/6 02:55:00,13,3h 57m,4h 28m,3/5 18:30:00,7.84,Rohn
Robert Redington,34,3/5 21:38:00,16,3/6 03:35:00,13,5h 57m,4h 29m,3/5 17:09:00,7.81,Rohn
Kristy Berington,20,3/5 23:38:00,15,3/6 04:00:00,15,4h 22m,4h 11m,3/5 19:27:00,8.37,Rohn
Andy Pohl,12,3/5 23:45:00,16,3/6 04:05:00,16,4h 20m,4h 15m,3/5 19:30:00,8.24,Rohn
Matthew Failor,55,3/5 23:47:00,16,3/6 04:18:00,16,4h 31m,3h 44m,3/5 20:03:00,9.38,Rohn
Brett Bruggeman,37,3/6 03:45:00,16,3/6 04:24:00,15,0h 39m,4h 5m,3/5 23:40:00,8.57,Rohn
Michi Konno,63,3/5 23:05:00,15,3/6 04:42:00,15,5h 37m,4h 1m,3/5 19:04:00,8.71,Rohn
Matt Hall,15,3/5 23:02:00,15,3/6 05:00:00,15,5h 58m,4h 13m,3/5 18:49:00,8.30,Rohn
Jeff King,40,3/5 23:36:00,15,3/6 05:00:00,15,5h 24m,4h 2m,3/5 19:34:00,8.68,Rohn
"Michael Williams, Jr.",27,3/6 00:56:00,16,3/6 05:09:00,15,4h 13m,3h 54m,3/5 21:02:00,8.97,Rohn
Bradley Farquhar,65,3/5 22:46:00,14,3/6 05:10:00,13,6h 24m,4h 24m,3/5 18:22:00,7.95,Rohn
Charley Bejna,38,3/6 00:44:00,16,3/6 05:56:00,16,5h 12m,4h 9m,3/5 20:35:00,8.43,Rohn
Katherine Keith,51,3/6 00:35:00,15,3/6 05:57:00,15,5h 22m,4h 21m,3/5 20:14:00,8.05,Rohn
Allen Moore,26,3/6 02:05:00,15,3/6 05:57:00,14,3h 52m,4h 39m,3/5 21:26:00,7.53,Rohn
Martin Buser,28,3/5 23:18:00,16,3/6 06:15:00,16,6h 57m,4h 8m,3/5 19:10:00,8.47,Rohn
Scott Janssen,23,3/6 00:02:00,15,3/6 06:15:00,15,6h 13m,4h 25m,3/5 19:37:00,7.92,Rohn
Aaron Peck,50,3/6 05:59:00,15,3/6 06:22:00,14,0h 23m,10h 59m,3/5 19:00:00,3.19,Rohn
Tom Knolmayer,43,3/6 00:26:00,16,3/6 06:35:00,15,6h 9m,4h 6m,3/5 20:20:00,8.54,Rohn
Emily Maxwell,58,3/6 00:41:00,15,3/6 07:04:00,14,6h 23m,4h 27m,3/5 20:14:00,7.87,Rohn
Shaynee Traska,5,3/6 07:38:00,16,3/6 08:05:00,16,0h 27m,4h 48m,3/6 02:50:00,7.29,Rohn
Monica Zappa,48,3/6 07:04:00,16,3/6 08:24:00,15,1h 20m,4h 21m,3/6 02:43:00,8.05,Rohn
Noah Pereira,49,3/6 04:08:00,16,3/6 08:25:00,15,4h 17m,4h 6m,3/6 00:02:00,8.54,Rohn
Alan Eischens,53,3/6 03:31:00,15,3/6 08:31:00,15,5h 0m,4h 15m,3/5 23:16:00,8.24,Rohn
Jeff Deeter,45,3/6 00:45:00,16,3/6 08:45:00,16,8h 0m,3h 57m,3/5 20:48:00,8.86,Rohn
Rob Cooke,10,3/6 05:54:00,16,3/6 10:00:00,16,4h 6m,4h 27m,3/6 01:27:00,7.87,Rohn
