musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,prevOut,checkName
Joar Leifseth Ulsom,33,3/13 00:57:00,12,3/13 01:04:00,12,0h 7m,7h 5m,3/12 17:52:00,6.78,Elim
Nicolas Petit,46,3/13 01:44:00,11,3/13 04:05:00,11,2h 21m,7h 31m,3/12 18:13:00,6.39,Elim
Mitch Seavey,13,3/13 04:15:00,9,3/13 05:54:00,9,1h 39m,7h 7m,3/12 21:08:00,6.74,Elim
Ray Redington Jr,17,3/13 07:20:00,12,3/13 10:30:00,11,3h 10m,7h 13m,3/13 00:07:00,6.65,Elim
Peter Kaiser,30,3/13 08:49:00,9,3/13 10:53:00,8,2h 4m,6h 58m,3/13 01:51:00,6.89,Elim
Richie Diehl,29,3/13 10:35:00,11,3/13 13:51:00,11,3h 16m,6h 19m,3/13 04:16:00,7.60,Elim
Travis Beals,60,3/13 11:38:00,10,3/13 14:04:00,10,2h 26m,7h 18m,3/13 04:20:00,6.58,Elim
Linwood Fiedler,8,3/13 14:10:00,11,3/13 14:13:00,11,0h 3m,6h 40m,3/13 07:30:00,7.20,Elim
Ramey Smyth,21,3/13 12:07:00,11,3/13 14:14:00,10,2h 7m,7h 2m,3/13 05:05:00,6.82,Elim
Jessie Holmes,41,3/13 12:53:00,12,3/13 15:03:00,11,2h 10m,6h 13m,3/13 06:40:00,7.72,Elim
Aaron Burmeister,64,3/13 15:22:00,11,3/13 15:40:00,11,0h 18m,7h 10m,3/13 08:12:00,6.70,Elim
Matt Hall,15,3/13 14:59:00,11,3/13 16:21:00,11,1h 22m,8h 9m,3/13 06:50:00,5.89,Elim
Kelly Maixner,52,3/13 20:01:00,11,3/13 20:05:00,11,0h 4m,9h 26m,3/13 10:35:00,5.09,Elim
Jessie Royer,36,3/13 16:29:00,12,3/13 20:21:00,12,3h 52m,7h 26m,3/13 09:03:00,6.46,Elim
Ketil Reitan,54,3/13 18:01:00,10,3/13 20:25:00,10,2h 24m,8h 49m,3/13 09:12:00,5.44,Elim
Aliy Zirkle,31,3/13 16:25:00,10,3/13 20:26:00,10,4h 1m,7h 11m,3/13 09:14:00,6.68,Elim
Matthew Failor,55,3/13 15:53:00,12,3/13 20:32:00,12,4h 39m,6h 49m,3/13 09:04:00,7.04,Elim
Mats Pettersson,3,3/13 19:11:00,11,3/14 02:00:00,11,6h 49m,6h 58m,3/13 12:13:00,6.89,Elim
Lars Monsen,61,3/13 21:05:00,10,3/14 02:00:00,10,4h 55m,7h 15m,3/13 13:50:00,6.62,Elim
Michelle Phillips,18,3/13 19:14:00,12,3/14 02:01:00,12,6h 47m,7h 2m,3/13 12:12:00,6.82,Elim
Hugh Neff,68,3/13 20:53:00,11,3/14 02:03:00,9,5h 10m,8h 39m,3/13 12:14:00,5.55,Elim
Anna Berington,4,3/14 07:50:00,10,3/14 13:09:00,10,5h 19m,6h 41m,3/14 01:09:00,7.18,Elim
Michi Konno,63,3/14 10:16:00,9,3/14 13:24:00,9,3h 8m,7h 36m,3/14 02:40:00,6.32,Elim
Jeff King,40,3/14 13:08:00,12,3/14 16:17:00,12,3h 9m,6h 8m,3/14 07:00:00,7.83,Elim
Katherine Keith,51,3/14 12:27:00,8,3/14 17:15:00,8,4h 48m,8h 12m,3/14 04:15:00,5.85,Elim
"Michael Williams, Jr.",27,3/14 15:20:00,9,3/14 18:21:00,9,3h 1m,6h 55m,3/14 08:25:00,6.94,Elim
Rick Casillo,9,3/14 16:17:00,10,3/14 21:11:00,10,4h 54m,6h 52m,3/14 09:25:00,6.99,Elim
Martin Buser,28,3/14 14:07:00,12,3/14 21:32:00,12,7h 25m,7h 27m,3/14 06:40:00,6.44,Elim
Cody Strathe,2,3/14 16:18:00,10,3/14 22:36:00,10,6h 18m,6h 43m,3/14 09:35:00,7.15,Elim
Tom Knolmayer,43,3/14 18:28:00,12,3/15 01:01:00,11,6h 33m,6h 58m,3/14 11:30:00,6.89,Elim
Andrew Nolan,56,3/14 20:57:00,12,3/15 01:14:00,12,4h 17m,6h 31m,3/14 14:26:00,7.37,Elim
Charley Bejna,38,3/14 19:16:00,11,3/15 02:14:00,11,6h 58m,7h 41m,3/14 11:35:00,6.25,Elim
Noah Pereira,49,3/14 20:34:00,10,3/15 02:22:00,10,5h 48m,6h 36m,3/14 13:58:00,7.27,Elim
