musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,prevOut,checkName
Emily Maxwell,58,3/14 21:43:00,9,3/15 04:58:00,9,7h 15m,6h 43m,3/14 15:00:00,7.15,Elim
Aaron Peck,50,3/15 00:55:00,10,3/15 05:29:00,10,4h 34m,6h 22m,3/14 18:33:00,7.54,Elim
Kristy Berington,20,3/15 01:03:00,12,3/15 07:23:00,11,6h 20m,6h 43m,3/14 18:20:00,7.15,Elim
Andy Pohl,12,3/15 01:10:00,11,3/15 07:23:00,11,6h 13m,6h 48m,3/14 18:22:00,7.06,Elim
Jim Lanier,32,3/14 21:37:00,14,3/15 07:36:00,13,9h 59m,6h 39m,3/14 14:58:00,7.22,Elim
Larry Daugherty,14,3/14 22:14:00,12,3/15 07:52:00,12,9h 38m,7h 59m,3/14 14:15:00,6.01,Elim
Monica Zappa,48,3/15 05:21:00,12,3/15 11:58:00,12,6h 37m,6h 13m,3/14 23:08:00,7.72,Elim
Brett Bruggeman,37,3/15 05:21:00,14,3/15 12:06:00,14,6h 45m,5h 58m,3/14 23:23:00,8.04,Elim
Scott Janssen,23,3/15 07:33:00,13,3/15 12:18:00,11,4h 45m,6h 8m,3/15 01:25:00,7.83,Elim
Lev Shvarts,22,3/15 07:16:00,11,3/15 12:20:00,11,5h 4m,6h 12m,3/15 01:04:00,7.74,Elim
Misha Wiljes,19,3/15 11:03:00,12,3/15 16:02:00,12,4h 59m,6h 32m,3/15 04:31:00,7.35,Elim
Jeff Deeter,45,3/15 12:25:00,8,3/15 19:23:00,8,6h 58m,6h 14m,3/15 06:11:00,7.70,Elim
Bradley Farquhar,65,3/15 12:16:00,10,3/15 19:27:00,10,7h 11m,6h 2m,3/15 06:14:00,7.96,Elim
Peter Fleck,67,3/15 12:21:00,11,3/15 19:32:00,11,7h 11m,6h 9m,3/15 06:12:00,7.80,Elim
Dave Delcourt,57,3/15 15:39:00,10,3/15 23:41:00,10,8h 2m,6h 0m,3/15 09:39:00,8.00,Elim
Tim Muto,42,3/15 18:08:00,12,3/16 02:02:00,12,7h 54m,5h 3m,3/15 13:05:00,9.50,Elim
Shaynee Traska,5,3/15 19:27:00,8,3/16 04:21:00,7,8h 54m,6h 32m,3/15 12:55:00,7.35,Elim
Anja Radano,24,3/16 00:46:00,13,3/16 09:10:00,13,8h 24m,5h 46m,3/15 19:00:00,8.32,Elim
Meredith Mapes,16,3/16 02:27:00,10,3/16 10:09:00,10,7h 42m,5h 34m,3/15 20:53:00,8.62,Elim
Magnus Kaltenborn,6,3/16 04:25:00,14,3/16 10:38:00,13,6h 13m,6h 5m,3/15 22:20:00,7.89,Elim
Jason Stewart,66,3/16 03:33:00,13,3/16 10:42:00,12,7h 9m,5h 54m,3/15 21:39:00,8.14,Elim
