musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,speed,NA,NA,checkName
NA,"Satellite View
															Location: 63.8742, -160.7863
										Click here to view map",Nicolas Petit,46,3/11 13:40:00 *,13,3/11 18:55:00,12,5h 15m,10h 57m,3/11 01:43:00,7.76,Unalakleet
NA,"Satellite View
															Location: 63.8742, -160.7863
										Click here to view map",Joar Leifseth Ulsom,33,3/11 18:38:00,13,3/11 20:20:00,13,1h 42m,15h 25m,3/11 03:13:00,5.51,Unalakleet
NA,"Satellite View
															Location: 63.8742, -160.7863
										Click here to view map",Mitch Seavey,13,3/11 17:58:00,11,3/11 21:16:00,10,3h 18m,14h 43m,3/11 03:15:00,5.78,Unalakleet
NA,"Satellite View
															Location: 63.8742, -160.7863
										Click here to view map",Ray Redington Jr,17,3/11 22:24:00,13,3/11 22:33:00,13,0h 9m,14h 54m,3/11 07:30:00,5.70,Unalakleet
NA,"Satellite View
															Location: 63.8742, -160.7863
										Click here to view map",Peter Kaiser,30,3/11 22:30:00,11,3/11 22:36:00,11,0h 6m,15h 0m,3/11 07:30:00,5.67,Unalakleet
NA,"Satellite View
															Location: 63.8742, -160.7863
										Click here to view map",Travis Beals,60,3/11 20:34:00,13,3/12 01:37:00,12,5h 3m,12h 39m,3/11 07:55:00,6.72,Unalakleet
NA,"Satellite View
															Location: 63.8742, -160.7863
										Click here to view map",Wade Marrs,11,3/11 22:09:00,11,3/12 02:26:00,9,4h 17m,14h 22m,3/11 07:47:00,5.92,Unalakleet
NA,"Satellite View
															Location: 63.8742, -160.7863
										Click here to view map",Richie Diehl,29,3/11 22:37:00,12,3/12 03:31:00,12,4h 54m,15h 8m,3/11 07:29:00,5.62,Unalakleet
NA,"Satellite View
															Location: 63.8742, -160.7863
										Click here to view map",Ramey Smyth,21,3/11 22:50:00,13,3/12 04:06:00,13,5h 16m,12h 0m,3/11 10:50:00,7.08,Unalakleet
NA,"Satellite View
															Location: 63.8742, -160.7863
										Click here to view map",Linwood Fiedler,8,3/11 22:08:00,13,3/12 04:44:00,12,6h 36m,11h 37m,3/11 10:31:00,7.32,Unalakleet
NA,"Satellite View
															Location: 63.8742, -160.7863
										Click here to view map",Matt Hall,15,3/12 01:36:00,14,3/12 05:51:00,13,4h 15m,16h 6m,3/11 09:30:00,5.28,Unalakleet
NA,"Satellite View
															Location: 63.8742, -160.7863
										Click here to view map",Matthew Failor,55,3/12 01:15:00,15,3/12 06:05:00,14,4h 50m,17h 21m,3/11 07:54:00,4.90,Unalakleet
NA,"Satellite View
															Location: 63.8742, -160.7863
										Click here to view map",Aaron Burmeister,64,3/12 01:57:00,11,3/12 06:05:00,11,4h 8m,15h 59m,3/11 09:58:00,5.32,Unalakleet
NA,"Satellite View
															Location: 63.8742, -160.7863
										Click here to view map",Aliy Zirkle,31,3/12 01:16:00,13,3/12 06:14:00,10,4h 58m,14h 44m,3/11 10:32:00,5.77,Unalakleet
NA,"Satellite View
															Location: 63.8742, -160.7863
										Click here to view map",Kelly Maixner,52,3/12 02:25:00,12,3/12 06:28:00,11,4h 3m,15h 50m,3/11 10:35:00,5.37,Unalakleet
NA,"Satellite View
															Location: 63.8742, -160.7863
										Click here to view map",Jessie Royer,36,3/12 06:32:00,12,3/12 06:34:00,12,0h 2m,16h 2m,3/11 14:30:00,5.30,Unalakleet
NA,"Satellite View
															Location: 63.8742, -160.7863
										Click here to view map",Ketil Reitan,54,3/12 01:50:00,11,3/12 07:00:00,11,5h 10m,13h 51m,3/11 11:59:00,6.14,Unalakleet
NA,"Satellite View
															Location: 63.8742, -160.7863
										Click here to view map",Michelle Phillips,18,3/12 07:22:00,13,3/12 07:34:00,12,0h 12m,16h 47m,3/11 14:35:00,5.06,Unalakleet
NA,"Satellite View
															Location: 63.8742, -160.7863
										Click here to view map",Mats Pettersson,3,3/12 02:29:00,12,3/12 07:38:00,12,5h 9m,15h 49m,3/11 10:40:00,5.37,Unalakleet
NA,"Satellite View
															Location: 63.8742, -160.7863
										Click here to view map",Jessie Holmes,41,3/12 03:40:00,13,3/12 07:47:00,12,4h 7m,10h 1m,3/11 17:39:00,8.49,Unalakleet
NA,"Satellite View
															Location: 63.8742, -160.7863
										Click here to view map",Hugh Neff,68,3/12 04:33:00,11,3/12 09:00:00,11,4h 27m,15h 45m,3/11 12:48:00,5.40,Unalakleet
NA,"Satellite View
															Location: 63.8742, -160.7863
										Click here to view map",Lars Monsen,61,3/12 08:05:00,12,3/12 11:04:00,11,2h 59m,13h 43m,3/11 18:22:00,6.20,Unalakleet
NA,"Satellite View
															Location: 63.8742, -160.7863
										Click here to view map",Michi Konno,63,3/12 07:39:00,10,3/12 13:37:00,9,5h 58m,14h 44m,3/11 16:55:00,5.77,Unalakleet
NA,"Satellite View
															Location: 63.8742, -160.7863
										Click here to view map",Katherine Keith,51,3/12 12:52:00,10,3/12 17:39:00,9,4h 47m,15h 44m,3/11 21:08:00,5.40,Unalakleet
NA,"Satellite View
															Location: 63.8742, -160.7863
										Click here to view map",Jeff King,40,3/12 13:15:00,13,3/12 19:28:00,12,6h 13m,10h 10m,3/12 03:05:00,8.36,Unalakleet
NA,"Satellite View
															Location: 63.8742, -160.7863
										Click here to view map",Martin Buser,28,3/12 13:12:00,13,3/12 19:29:00,12,6h 17m,17h 3m,3/11 20:09:00,4.99,Unalakleet
NA,"Satellite View
															Location: 63.8742, -160.7863
										Click here to view map",Anna Berington,4,3/12 13:29:00,11,3/12 19:45:00,10,6h 16m,16h 29m,3/11 21:00:00,5.16,Unalakleet
NA,"Satellite View
															Location: 63.8742, -160.7863
										Click here to view map",Rick Casillo,9,3/12 13:43:00,12,3/12 20:23:00,11,6h 40m,15h 53m,3/11 21:50:00,5.35,Unalakleet
NA,"Satellite View
															Location: 63.8742, -160.7863
										Click here to view map","Michael Williams, Jr.",27,3/12 12:46:00,10,3/12 20:58:00,9,8h 12m,10h 52m,3/12 01:54:00,7.82,Unalakleet
NA,"Satellite View
															Location: 63.8742, -160.7863
										Click here to view map",Cody Strathe,2,3/12 13:46:00,11,3/12 21:26:00,11,7h 40m,14h 46m,3/11 23:00:00,5.76,Unalakleet
NA,"Satellite View
															Location: 63.8742, -160.7863
										Click here to view map",Larry Daugherty,14,3/12 19:31:00,14,3/13 00:28:00,13,4h 57m,16h 46m,3/12 02:45:00,5.07,Unalakleet
NA,"Satellite View
															Location: 63.8742, -160.7863
										Click here to view map",Tom Knolmayer,43,3/12 21:28:00,12,3/13 02:41:00,12,5h 13m,17h 10m,3/12 04:18:00,4.95,Unalakleet
NA,"Satellite View
															Location: 63.8742, -160.7863
										Click here to view map",Charley Bejna,38,3/12 19:28:00,13,3/13 03:14:00,12,7h 46m,16h 39m,3/12 02:49:00,5.11,Unalakleet
NA,"Satellite View
															Location: 63.8742, -160.7863
										Click here to view map",Noah Pereira,49,3/13 02:54:00,10,3/13 09:50:00,10,6h 56m,16h 8m,3/12 10:46:00,5.27,Unalakleet
NA,"Satellite View
															Location: 63.8742, -160.7863
										Click here to view map",Jim Lanier,32,3/13 01:58:00,15,3/13 10:28:00,15,8h 30m,15h 32m,3/12 10:26:00,5.47,Unalakleet
NA,"Satellite View
															Location: 63.8742, -160.7863
										Click here to view map",Emily Maxwell,58,3/13 01:23:00,10,3/13 10:30:00,10,9h 7m,14h 3m,3/12 11:20:00,6.05,Unalakleet
NA,"Satellite View
															Location: 63.8742, -160.7863
										Click here to view map",Andrew Nolan,56,3/13 07:59:00,12,3/13 13:27:00,12,5h 28m,16h 41m,3/12 15:18:00,5.09,Unalakleet
NA,"Satellite View
															Location: 63.8742, -160.7863
										Click here to view map",Aaron Peck,50,3/13 07:58:00,12,3/13 13:49:00,12,5h 51m,16h 52m,3/12 15:06:00,5.04,Unalakleet
NA,"Satellite View
															Location: 63.8742, -160.7863
										Click here to view map",Kristy Berington,20,3/13 08:46:00,12,3/13 14:15:00,12,5h 29m,17h 30m,3/12 15:16:00,4.86,Unalakleet
NA,"Satellite View
															Location: 63.8742, -160.7863
										Click here to view map",Andy Pohl,12,3/13 08:47:00,11,3/13 14:15:00,11,5h 28m,17h 31m,3/12 15:16:00,4.85,Unalakleet
NA,"Satellite View
															Location: 63.8742, -160.7863
										Click here to view map",Monica Zappa,48,3/13 12:12:00,13,3/13 17:33:00,13,5h 21m,16h 13m,3/12 19:59:00,5.24,Unalakleet
NA,"Satellite View
															Location: 63.8742, -160.7863
										Click here to view map",Brett Bruggeman,37,3/13 12:02:00,15,3/13 17:34:00,14,5h 32m,16h 3m,3/12 19:59:00,5.30,Unalakleet
NA,"Satellite View
															Location: 63.8742, -160.7863
										Click here to view map",Lev Shvarts,22,3/13 14:12:00,12,3/13 20:01:00,11,5h 49m,19h 8m,3/12 19:04:00,4.44,Unalakleet
NA,"Satellite View
															Location: 63.8742, -160.7863
										Click here to view map",Scott Janssen,23,3/13 13:48:00,13,3/13 20:28:00,13,6h 40m,16h 19m,3/12 21:29:00,5.21,Unalakleet
NA,"Satellite View
															Location: 63.8742, -160.7863
										Click here to view map",Alan Eischens,53,3/13 14:31:00,14,3/13 20:28:00,14,5h 57m,17h 9m,3/12 21:22:00,4.96,Unalakleet
NA,"Satellite View
															Location: 63.8742, -160.7863
										Click here to view map",Misha Wiljes,19,3/13 19:19:00,12,3/14 00:46:00,12,5h 27m,15h 49m,3/13 03:30:00,5.37,Unalakleet
