musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,prevOut,checkName
Joar Leifseth Ulsom,33,3/7 01:42:00,16,3/7 01:47:00,16,0h 5m,2h 36m,3/6 23:06:00,6.92,Takotna
Hugh Neff,68,3/7 06:14:00,14,3/7 06:19:00,13,0h 5m,2h 45m,3/7 03:29:00,6.55,Takotna
Ketil Reitan,54,3/7 07:36:00,14,3/7 07:39:00,14,0h 3m,2h 18m,3/7 05:18:00,7.83,Takotna
Martin Buser,28,3/7 08:37:00,16,3/7 08:38:00,16,0h 1m,2h 29m,3/7 06:08:00,7.25,Takotna
Tom Knolmayer,43,3/7 09:00:00,15,3/7 09:04:00,15,0h 4m,2h 28m,3/7 06:32:00,7.30,Takotna
Jessie Holmes,41,3/7 05:29:00,15,3/7 09:57:00,15,4h 28m,2h 36m,3/7 02:53:00,6.92,Takotna
Jeff King,40,3/7 10:30:00,15,3/7 10:40:00,15,0h 10m,2h 25m,3/7 08:05:00,7.45,Takotna
Anna Berington,4,3/7 10:55:00,13,3/7 11:00:00,13,0h 5m,2h 25m,3/7 08:30:00,7.45,Takotna
Lars Monsen,61,3/7 04:15:00,15,3/7 11:01:00,15,6h 46m,2h 42m,3/7 01:33:00,6.67,Takotna
Larry Daugherty,14,3/7 08:48:00,15,3/7 13:48:00,15,5h 0m,2h 55m,3/7 05:53:00,6.17,Takotna
Kristy Berington,20,3/7 15:00:00,15,3/7 15:05:00,15,0h 5m,2h 42m,3/7 12:18:00,6.67,Takotna
Andy Pohl,12,3/7 15:12:00,15,3/7 15:12:00,15,0h 0m,2h 52m,3/7 12:20:00,6.28,Takotna
Monica Zappa,48,3/7 21:23:00,15,3/7 21:35:00,15,0h 12m,2h 37m,3/7 18:46:00,6.88,Takotna
Nicolas Petit,46,3/7 23:28:00,14,3/7 23:31:00,14,0h 3m,2h 7m,3/7 21:21:00,8.50,Takotna
Mitch Seavey,13,3/6 21:45:00,13,3/7 23:35:00,13,25h 50m,2h 23m,3/6 19:22:00,7.55,Takotna
Aaron Burmeister,64,3/8 00:18:00,15,3/8 00:20:00,15,0h 2m,2h 31m,3/7 21:47:00,7.15,Takotna
Wade Marrs,11,3/8 01:14:00,15,3/8 01:16:00,15,0h 2m,2h 18m,3/7 22:56:00,7.83,Takotna
Ray Redington Jr,17,3/7 00:18:00,15,3/8 02:00:00,15,25h 42m,2h 53m,3/6 21:25:00,6.24,Takotna
Ryan Redington,7,3/8 01:53:00,11,3/8 02:00:00,11,0h 7m,2h 37m,3/7 23:16:00,6.88,Takotna
Jessie Royer,36,3/7 01:12:00,14,3/8 02:16:00,14,25h 4m,2h 42m,3/6 22:30:00,6.67,Takotna
Aliy Zirkle,31,3/7 01:46:00,15,3/8 03:00:00,15,25h 14m,2h 53m,3/6 22:53:00,6.24,Takotna
Linwood Fiedler,8,3/7 01:18:00,15,3/8 03:26:00,15,26h 8m,2h 30m,3/6 22:48:00,7.20,Takotna
Richie Diehl,29,3/7 02:22:00,15,3/8 03:40:00,14,25h 18m,2h 36m,3/6 23:46:00,6.92,Takotna
Peter Kaiser,30,3/7 02:25:00,14,3/8 03:43:00,14,25h 18m,2h 39m,3/6 23:46:00,6.79,Takotna
Robert Redington,34,3/8 03:55:00,13,3/8 03:57:00,13,0h 2m,2h 21m,3/8 01:34:00,7.66,Takotna
Kelly Maixner,52,3/7 03:40:00,16,3/8 04:15:00,16,24h 35m,2h 50m,3/7 00:50:00,6.35,Takotna
Mats Pettersson,3,3/7 02:52:00,16,3/8 05:02:00,16,26h 10m,2h 30m,3/7 00:22:00,7.20,Takotna
Michelle Phillips,18,3/7 03:31:00,15,3/8 05:11:00,14,25h 40m,2h 31m,3/7 01:00:00,7.15,Takotna
Michi Konno,63,3/7 05:11:00,14,3/8 05:21:00,14,24h 10m,2h 20m,3/7 02:51:00,7.71,Takotna
Rick Casillo,9,3/8 05:25:00,13,3/8 05:27:00,13,0h 2m,2h 20m,3/8 03:05:00,7.71,Takotna
Matt Hall,15,3/7 03:47:00,14,3/8 05:33:00,14,25h 46m,2h 42m,3/7 01:05:00,6.67,Takotna
Travis Beals,60,3/7 05:40:00,14,3/8 05:56:00,14,24h 16m,2h 24m,3/7 03:16:00,7.50,Takotna
Matthew Failor,55,3/7 05:38:00,16,3/8 06:04:00,16,24h 26m,2h 18m,3/7 03:20:00,7.83,Takotna
Ramey Smyth,21,3/7 04:37:00,16,3/8 06:11:00,16,25h 34m,2h 43m,3/7 01:54:00,6.63,Takotna
Katherine Keith,51,3/8 07:21:00,14,3/8 07:22:00,14,0h 1m,2h 31m,3/8 04:50:00,7.15,Takotna
Cody Strathe,2,3/7 05:16:00,14,3/8 07:28:00,14,26h 12m,2h 25m,3/7 02:51:00,7.45,Takotna
"Michael Williams, Jr.",27,3/7 10:23:00,13,3/8 11:45:00,13,25h 22m,3h 30m,3/7 06:53:00,5.14,Takotna
Charley Bejna,38,3/7 11:11:00,15,3/8 12:13:00,14,25h 2m,2h 26m,3/7 08:45:00,7.40,Takotna
Jim Lanier,32,3/7 12:27:00,15,3/8 13:39:00,15,25h 12m,2h 42m,3/7 09:45:00,6.67,Takotna
Jeff Deeter,45,3/8 14:10:00,12,3/8 14:12:00,12,0h 2m,2h 15m,3/8 11:55:00,8.00,Takotna
Noah Pereira,49,3/8 14:13:00,14,3/8 14:14:00,14,0h 1m,2h 13m,3/8 12:00:00,8.12,Takotna
Aaron Peck,50,3/8 15:06:00,14,3/8 15:09:00,14,0h 3m,2h 12m,3/8 12:54:00,8.18,Takotna
Emily Maxwell,58,3/7 14:52:00,13,3/8 15:16:00,13,24h 24m,3h 8m,3/7 11:44:00,5.74,Takotna
Scott Janssen,23,3/7 13:42:00,15,3/8 15:32:00,15,25h 50m,3h 0m,3/7 10:42:00,6.00,Takotna
Bradley Farquhar,65,3/7 15:30:00,12,3/8 15:41:00,11,24h 11m,3h 11m,3/7 12:19:00,5.65,Takotna
Alan Eischens,53,3/8 16:44:00,14,3/8 16:53:00,14,0h 9m,2h 24m,3/8 14:20:00,7.50,Takotna
Brett Bruggeman,37,3/7 13:36:00,15,3/8 17:45:00,15,28h 9m,2h 28m,3/7 11:08:00,7.30,Takotna
Allen Moore,26,3/7 17:25:00,14,3/8 18:50:00,13,25h 25m,3h 34m,3/7 13:51:00,5.05,Takotna
Andrew Nolan,56,3/8 19:21:00,13,3/8 19:40:00,13,0h 19m,2h 25m,3/8 16:56:00,7.45,Takotna
Lev Shvarts,22,3/8 20:51:00,16,3/8 20:54:00,16,0h 3m,2h 25m,3/8 18:26:00,7.45,Takotna
Meredith Mapes,16,3/8 23:12:00,13,3/8 23:17:00,13,0h 5m,2h 35m,3/8 20:37:00,6.97,Takotna
Peter Fleck,67,3/8 23:33:00,15,3/8 23:35:00,15,0h 2m,2h 33m,3/8 21:00:00,7.06,Takotna
Magnus Kaltenborn,6,3/9 00:24:00,16,3/9 00:26:00,16,0h 2m,2h 39m,3/8 21:45:00,6.79,Takotna
Scott White,62,3/9 00:35:00,12,3/9 00:42:00,10,0h 7m,2h 40m,3/8 21:55:00,6.75,Takotna
Shaynee Traska,5,3/7 23:12:00,15,3/9 01:18:00,15,26h 6m,2h 41m,3/7 20:31:00,6.71,Takotna
Anja Radano,24,3/9 01:49:00,15,3/9 01:52:00,15,0h 3m,2h 41m,3/8 23:08:00,6.71,Takotna
Dave Delcourt,57,3/8 01:47:00,14,3/9 02:11:00,14,24h 24m,2h 35m,3/7 23:12:00,6.97,Takotna
Jason Stewart,66,3/9 02:58:00,15,3/9 03:01:00,15,0h 3m,2h 27m,3/9 00:31:00,7.35,Takotna
Misha Wiljes,19,3/9 00:58:00,14,3/9 03:16:00,14,2h 18m,2h 33m,3/8 22:25:00,7.06,Takotna
Rob Cooke,10,3/8 03:38:00,16,3/9 05:34:00,16,25h 56m,3h 13m,3/8 00:25:00,5.60,Takotna
Tim Muto,42,3/8 07:48:00,13,3/9 08:40:00,13,24h 52m,2h 15m,3/8 05:33:00,8.00,Takotna
Marcelle Fressineau,35,3/8 07:38:00,13,3/9 08:47:00,13,25h 9m,2h 43m,3/8 04:55:00,6.63,Takotna
Tara Cicatello,44,3/9 11:15:00,13,3/9 12:16:00,13,1h 1m,2h 35m,3/9 08:40:00,6.97,Takotna
Steve Watkins,59,3/8 13:08:00,13,3/9 14:36:00,13,25h 28m,1h 47m,3/8 11:21:00,10.09,Takotna
Tom Schonberger,25,3/9 14:17:00,11,3/9 14:40:00,11,0h 23m,3h 30m,3/9 10:47:00,5.14,Takotna
