musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,speed,NA,NA,checkName
NA,"Satellite View
															Location: 62.6522, -160.1990
										Click here to view map",Mitch Seavey,13,3/9 10:51:00,13,3/9 11:04:00,12,0h 13m,3h 23m,3/9 07:28:00,7.39,Anvik
NA,"Satellite View
															Location: 62.6522, -160.1990
										Click here to view map",Joar Leifseth Ulsom,33,3/9 10:59:00,15,3/9 11:06:00,15,0h 7m,3h 17m,3/9 07:42:00,7.61,Anvik
NA,"Satellite View
															Location: 62.6522, -160.1990
										Click here to view map",Nicolas Petit,46,3/9 05:21:00,14,3/9 13:21:00,14,8h 0m,3h 9m,3/9 02:12:00,7.94,Anvik
NA,"Satellite View
															Location: 62.6522, -160.1990
										Click here to view map",Peter Kaiser,30,3/9 18:55:00,12,3/9 18:56:00,12,0h 1m,3h 26m,3/9 15:29:00,7.28,Anvik
NA,"Satellite View
															Location: 62.6522, -160.1990
										Click here to view map",Richie Diehl,29,3/9 19:02:00,13,3/9 19:06:00,13,0h 4m,3h 37m,3/9 15:25:00,6.91,Anvik
NA,"Satellite View
															Location: 62.6522, -160.1990
										Click here to view map",Ray Redington Jr,17,3/9 19:10:00,14,3/9 19:11:00,14,0h 1m,3h 36m,3/9 15:34:00,6.94,Anvik
NA,"Satellite View
															Location: 62.6522, -160.1990
										Click here to view map",Wade Marrs,11,3/9 19:35:00,12,3/9 19:36:00,12,0h 1m,3h 37m,3/9 15:58:00,6.91,Anvik
NA,"Satellite View
															Location: 62.6522, -160.1990
										Click here to view map",Linwood Fiedler,8,3/9 19:36:00,13,3/9 19:48:00,13,0h 12m,3h 35m,3/9 16:01:00,6.98,Anvik
NA,"Satellite View
															Location: 62.6522, -160.1990
										Click here to view map",Jessie Royer,36,3/9 19:45:00,14,3/9 19:55:00,13,0h 10m,3h 47m,3/9 15:58:00,6.61,Anvik
NA,"Satellite View
															Location: 62.6522, -160.1990
										Click here to view map",Aaron Burmeister,64,3/9 20:12:00,13,3/9 20:24:00,12,0h 12m,3h 57m,3/9 16:15:00,6.33,Anvik
NA,"Satellite View
															Location: 62.6522, -160.1990
										Click here to view map",Aliy Zirkle,31,3/9 20:38:00,14,3/9 20:38:00,14,0h 0m,3h 45m,3/9 16:53:00,6.67,Anvik
NA,"Satellite View
															Location: 62.6522, -160.1990
										Click here to view map",Ketil Reitan,54,3/9 20:49:00,13,3/9 20:58:00,13,0h 9m,3h 43m,3/9 17:06:00,6.73,Anvik
NA,"Satellite View
															Location: 62.6522, -160.1990
										Click here to view map",Travis Beals,60,3/9 20:57:00,14,3/9 21:01:00,14,0h 4m,3h 19m,3/9 17:38:00,7.54,Anvik
NA,"Satellite View
															Location: 62.6522, -160.1990
										Click here to view map",Mats Pettersson,3,3/9 21:03:00,14,3/9 21:07:00,14,0h 4m,6h 36m,3/9 14:27:00,3.79,Anvik
NA,"Satellite View
															Location: 62.6522, -160.1990
										Click here to view map",Kelly Maixner,52,3/9 21:30:00,15,3/9 21:35:00,15,0h 5m,3h 49m,3/9 17:41:00,6.55,Anvik
NA,"Satellite View
															Location: 62.6522, -160.1990
										Click here to view map",Lars Monsen,61,3/9 21:32:00,15,3/9 21:35:00,15,0h 3m,4h 2m,3/9 17:30:00,6.20,Anvik
NA,"Satellite View
															Location: 62.6522, -160.1990
										Click here to view map",Hugh Neff,68,3/9 21:42:00,12,3/9 21:43:00,12,0h 1m,3h 53m,3/9 17:49:00,6.44,Anvik
NA,"Satellite View
															Location: 62.6522, -160.1990
										Click here to view map",Michelle Phillips,18,3/9 22:06:00,13,3/9 22:16:00,13,0h 10m,3h 41m,3/9 18:25:00,6.79,Anvik
NA,"Satellite View
															Location: 62.6522, -160.1990
										Click here to view map",Matthew Failor,55,3/9 22:20:00,16,3/9 22:25:00,16,0h 5m,3h 19m,3/9 19:01:00,7.54,Anvik
NA,"Satellite View
															Location: 62.6522, -160.1990
										Click here to view map",Matt Hall,15,3/9 22:53:00,14,3/9 22:58:00,14,0h 5m,3h 42m,3/9 19:11:00,6.76,Anvik
NA,"Satellite View
															Location: 62.6522, -160.1990
										Click here to view map",Ramey Smyth,21,3/9 23:41:00,14,3/9 23:51:00,14,0h 10m,3h 42m,3/9 19:59:00,6.76,Anvik
NA,"Satellite View
															Location: 62.6522, -160.1990
										Click here to view map",Martin Buser,28,3/10 01:08:00,15,3/10 01:09:00,15,0h 1m,3h 40m,3/9 21:28:00,6.82,Anvik
NA,"Satellite View
															Location: 62.6522, -160.1990
										Click here to view map",Michi Konno,63,3/10 01:10:00,12,3/10 01:18:00,12,0h 8m,3h 38m,3/9 21:32:00,6.88,Anvik
NA,"Satellite View
															Location: 62.6522, -160.1990
										Click here to view map",Cody Strathe,2,3/10 02:20:00,13,3/10 02:28:00,13,0h 8m,3h 14m,3/9 23:06:00,7.73,Anvik
NA,"Satellite View
															Location: 62.6522, -160.1990
										Click here to view map",Ryan Redington,7,3/10 01:55:00,11,3/10 02:29:00,11,0h 34m,3h 36m,3/9 22:19:00,6.94,Anvik
NA,"Satellite View
															Location: 62.6522, -160.1990
										Click here to view map",Tom Knolmayer,43,3/10 05:25:00,13,3/10 05:36:00,13,0h 11m,3h 39m,3/10 01:46:00,6.85,Anvik
NA,"Satellite View
															Location: 62.6522, -160.1990
										Click here to view map",Katherine Keith,51,3/10 05:58:00,14,3/10 06:00:00,14,0h 2m,3h 29m,3/10 02:29:00,7.18,Anvik
NA,"Satellite View
															Location: 62.6522, -160.1990
										Click here to view map",Jessie Holmes,41,3/10 06:39:00,14,3/10 06:51:00,14,0h 12m,3h 7m,3/10 03:32:00,8.02,Anvik
NA,"Satellite View
															Location: 62.6522, -160.1990
										Click here to view map",Rick Casillo,9,3/10 03:38:00,12,3/10 06:54:00,12,3h 16m,3h 5m,3/10 00:33:00,8.11,Anvik
NA,"Satellite View
															Location: 62.6522, -160.1990
										Click here to view map",Anna Berington,4,3/10 07:14:00,12,3/10 07:21:00,12,0h 7m,3h 24m,3/10 03:50:00,7.35,Anvik
NA,"Satellite View
															Location: 62.6522, -160.1990
										Click here to view map","Michael Williams, Jr.",27,3/10 08:44:00,12,3/10 08:49:00,11,0h 5m,3h 4m,3/10 05:40:00,8.15,Anvik
