musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,speed,NA,NA,checkName
NA,"Satellite View
															Location: 62.9054, -160.0642
										Click here to view map",Nicolas Petit,46,3/9 16:11:00,14,3/9 16:48:00,14,0h 37m,2h 50m,3/9 13:21:00,6.35,Grayling
NA,"Satellite View
															Location: 62.9054, -160.0642
										Click here to view map",Mitch Seavey,13,3/9 13:45:00,12,3/9 21:45:00,12,8h 0m,2h 41m,3/9 11:04:00,6.71,Grayling
NA,"Satellite View
															Location: 62.9054, -160.0642
										Click here to view map",Joar Leifseth Ulsom,33,3/9 13:58:00,15,3/9 21:58:00,13,8h 0m,2h 52m,3/9 11:06:00,6.28,Grayling
NA,"Satellite View
															Location: 62.9054, -160.0642
										Click here to view map",Ray Redington Jr,17,3/9 21:52:00,14,3/10 04:05:00,14,6h 13m,2h 41m,3/9 19:11:00,6.71,Grayling
NA,"Satellite View
															Location: 62.9054, -160.0642
										Click here to view map",Peter Kaiser,30,3/9 21:40:00,12,3/10 04:19:00,12,6h 39m,2h 44m,3/9 18:56:00,6.59,Grayling
NA,"Satellite View
															Location: 62.9054, -160.0642
										Click here to view map",Richie Diehl,29,3/9 21:48:00,13,3/10 04:19:00,13,6h 31m,2h 42m,3/9 19:06:00,6.67,Grayling
NA,"Satellite View
															Location: 62.9054, -160.0642
										Click here to view map",Aaron Burmeister,64,3/9 23:18:00,12,3/10 04:35:00,12,5h 17m,2h 54m,3/9 20:24:00,6.21,Grayling
NA,"Satellite View
															Location: 62.9054, -160.0642
										Click here to view map",Travis Beals,60,3/9 23:40:00,14,3/10 05:20:00,14,5h 40m,2h 39m,3/9 21:01:00,6.79,Grayling
NA,"Satellite View
															Location: 62.9054, -160.0642
										Click here to view map",Wade Marrs,11,3/9 22:35:00,12,3/10 05:37:00,12,7h 2m,2h 59m,3/9 19:36:00,6.03,Grayling
NA,"Satellite View
															Location: 62.9054, -160.0642
										Click here to view map",Jessie Royer,36,3/9 23:00:00,13,3/10 05:38:00,13,6h 38m,3h 5m,3/9 19:55:00,5.84,Grayling
NA,"Satellite View
															Location: 62.9054, -160.0642
										Click here to view map",Aliy Zirkle,31,3/9 23:45:00,14,3/10 05:39:00,13,5h 54m,3h 7m,3/9 20:38:00,5.78,Grayling
NA,"Satellite View
															Location: 62.9054, -160.0642
										Click here to view map",Ramey Smyth,21,3/10 02:30:00,14,3/10 06:44:00,14,4h 14m,2h 39m,3/9 23:51:00,6.79,Grayling
NA,"Satellite View
															Location: 62.9054, -160.0642
										Click here to view map",Matt Hall,15,3/10 02:00:00,14,3/10 06:50:00,14,4h 50m,3h 2m,3/9 22:58:00,5.93,Grayling
NA,"Satellite View
															Location: 62.9054, -160.0642
										Click here to view map",Hugh Neff,68,3/10 00:39:00,12,3/10 07:00:00,12,6h 21m,2h 56m,3/9 21:43:00,6.14,Grayling
NA,"Satellite View
															Location: 62.9054, -160.0642
										Click here to view map",Matthew Failor,55,3/10 00:54:00,16,3/10 07:07:00,16,6h 13m,2h 29m,3/9 22:25:00,7.25,Grayling
NA,"Satellite View
															Location: 62.9054, -160.0642
										Click here to view map",Linwood Fiedler,8,3/9 22:40:00,13,3/10 07:34:00,13,8h 54m,2h 52m,3/9 19:48:00,6.28,Grayling
NA,"Satellite View
															Location: 62.9054, -160.0642
										Click here to view map",Ketil Reitan,54,3/9 23:50:00,13,3/10 07:57:00,12,8h 7m,2h 52m,3/9 20:58:00,6.28,Grayling
NA,"Satellite View
															Location: 62.9054, -160.0642
										Click here to view map",Mats Pettersson,3,3/9 23:56:00,14,3/10 07:57:00,13,8h 1m,2h 49m,3/9 21:07:00,6.39,Grayling
NA,"Satellite View
															Location: 62.9054, -160.0642
										Click here to view map",Kelly Maixner,52,3/10 00:35:00,15,3/10 08:35:00,15,8h 0m,3h 0m,3/9 21:35:00,6.00,Grayling
NA,"Satellite View
															Location: 62.9054, -160.0642
										Click here to view map",Lars Monsen,61,3/10 00:27:00,15,3/10 08:37:00,14,8h 10m,2h 52m,3/9 21:35:00,6.28,Grayling
NA,"Satellite View
															Location: 62.9054, -160.0642
										Click here to view map",Martin Buser,28,3/10 04:20:00,15,3/10 08:39:00,15,4h 19m,3h 11m,3/10 01:09:00,5.65,Grayling
NA,"Satellite View
															Location: 62.9054, -160.0642
										Click here to view map",Michelle Phillips,18,3/10 01:08:00,13,3/10 09:08:00,13,8h 0m,2h 52m,3/9 22:16:00,6.28,Grayling
NA,"Satellite View
															Location: 62.9054, -160.0642
										Click here to view map",Rick Casillo,9,3/10 09:24:00,12,3/10 09:34:00,12,0h 10m,2h 30m,3/10 06:54:00,7.20,Grayling
NA,"Satellite View
															Location: 62.9054, -160.0642
										Click here to view map",Michi Konno,63,3/10 04:19:00,12,3/10 09:54:00,12,5h 35m,3h 1m,3/10 01:18:00,5.97,Grayling
NA,"Satellite View
															Location: 62.9054, -160.0642
										Click here to view map",Ryan Redington,7,3/10 05:12:00,11,3/10 10:50:00,11,5h 38m,2h 43m,3/10 02:29:00,6.63,Grayling
NA,"Satellite View
															Location: 62.9054, -160.0642
										Click here to view map",Cody Strathe,2,3/10 05:06:00,13,3/10 14:33:00,12,9h 27m,2h 38m,3/10 02:28:00,6.84,Grayling
NA,"Satellite View
															Location: 62.9054, -160.0642
										Click here to view map",Anna Berington,4,3/10 09:42:00,12,3/10 15:28:00,11,5h 46m,2h 21m,3/10 07:21:00,7.66,Grayling
NA,"Satellite View
															Location: 62.9054, -160.0642
										Click here to view map",Larry Daugherty,14,3/10 15:15:00,14,3/10 15:42:00,14,0h 27m,2h 54m,3/10 12:21:00,6.21,Grayling
NA,"Satellite View
															Location: 62.9054, -160.0642
										Click here to view map",Jessie Holmes,41,3/10 08:53:00,14,3/10 15:52:00,13,6h 59m,2h 2m,3/10 06:51:00,8.85,Grayling
NA,"Satellite View
															Location: 62.9054, -160.0642
										Click here to view map",Tom Knolmayer,43,3/10 08:40:00,13,3/10 16:41:00,13,8h 1m,3h 4m,3/10 05:36:00,5.87,Grayling
NA,"Satellite View
															Location: 62.9054, -160.0642
										Click here to view map",Katherine Keith,51,3/10 08:51:00,14,3/10 16:51:00,13,8h 0m,2h 51m,3/10 06:00:00,6.32,Grayling
NA,"Satellite View
															Location: 62.9054, -160.0642
										Click here to view map","Michael Williams, Jr.",27,3/10 11:16:00,11,3/10 19:16:00,11,8h 0m,2h 27m,3/10 08:49:00,7.35,Grayling
NA,"Satellite View
															Location: 62.9054, -160.0642
										Click here to view map",Jeff King,40,3/10 11:52:00,13,3/10 19:53:00,13,8h 1m,2h 23m,3/10 09:29:00,7.55,Grayling
NA,"Satellite View
															Location: 62.9054, -160.0642
										Click here to view map",Charley Bejna,38,3/10 12:13:00,14,3/10 20:17:00,14,8h 4m,2h 28m,3/10 09:45:00,7.30,Grayling
NA,"Satellite View
															Location: 62.9054, -160.0642
										Click here to view map",Bradley Farquhar,65,3/10 18:01:00,11,3/11 03:40:00 *,11,8h 39m,2h 30m,3/10 15:31:00,7.20,Grayling
NA,"Satellite View
															Location: 62.9054, -160.0642
										Click here to view map",Emily Maxwell,58,3/10 20:35:00,13,3/11 04:15:00 *,13,6h 40m,2h 34m,3/10 18:01:00,7.01,Grayling
NA,"Satellite View
															Location: 62.9054, -160.0642
										Click here to view map",Jim Lanier,32,3/10 19:10:00,15,3/11 05:49:00 *,15,9h 39m,2h 19m,3/10 16:51:00,7.77,Grayling
NA,"Satellite View
															Location: 62.9054, -160.0642
										Click here to view map",Aaron Peck,50,3/10 20:53:00,13,3/11 05:57:00 *,13,8h 4m,2h 26m,3/10 18:27:00,7.40,Grayling
NA,"Satellite View
															Location: 62.9054, -160.0642
										Click here to view map",Lev Shvarts,22,3/11 07:47:00,13,3/11 08:08:00,13,0h 21m,2h 29m,3/11 05:18:00,7.25,Grayling
NA,"Satellite View
															Location: 62.9054, -160.0642
										Click here to view map",Noah Pereira,49,3/11 03:59:00 *,11,3/11 08:10:00,10,4h 11m,2h 35m,3/11 00:24:00,6.97,Grayling
NA,"Satellite View
															Location: 62.9054, -160.0642
										Click here to view map",Monica Zappa,48,3/11 05:30:00,13,3/11 09:48:00,13,4h 18m,2h 27m,3/11 03:03:00,7.35,Grayling
NA,"Satellite View
															Location: 62.9054, -160.0642
										Click here to view map",Andy Pohl,12,3/10 22:06:00,12,3/11 10:20:00 *,11,11h 14m,2h 54m,3/10 19:12:00,6.21,Grayling
NA,"Satellite View
															Location: 62.9054, -160.0642
										Click here to view map",Kristy Berington,20,3/10 22:06:00,13,3/11 10:20:00 *,13,11h 14m,2h 55m,3/10 19:11:00,6.17,Grayling
NA,"Satellite View
															Location: 62.9054, -160.0642
										Click here to view map",Andrew Nolan,56,3/11 05:22:00 *,12,3/11 10:39:00,12,5h 17m,2h 34m,3/11 01:48:00,7.01,Grayling
NA,"Satellite View
															Location: 62.9054, -160.0642
										Click here to view map",Brett Bruggeman,37,3/11 01:30:00,15,3/11 10:58:00 *,15,8h 28m,2h 31m,3/10 22:59:00,7.15,Grayling
NA,"Satellite View
															Location: 62.9054, -160.0642
										Click here to view map",Jeff Deeter,45,3/11 10:45:00,8,3/11 10:58:00,8,0h 13m,2h 21m,3/11 08:24:00,7.66,Grayling
NA,"Satellite View
															Location: 62.9054, -160.0642
										Click here to view map",Scott Janssen,23,3/11 03:36:00 *,14,3/11 11:18:00,14,7h 42m,2h 20m,3/11 00:16:00,7.71,Grayling
