musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,prevOut,checkName
Joar Leifseth Ulsom,33,3/12 13:01:00,13,3/12 17:52:00,12,4h 51m,8h 13m,3/12 04:48:00,6.09,Koyuk
Nicolas Petit,46,3/12 14:10:00,11,3/12 18:13:00,11,4h 3m,13h 1m,3/12 01:09:00,3.84,Koyuk
Mitch Seavey,13,3/12 15:55:00,9,3/12 21:08:00,9,5h 13m,12h 12m,3/12 03:43:00,4.10,Koyuk
Ray Redington Jr,17,3/12 18:26:00,13,3/13 00:07:00,12,5h 41m,7h 58m,3/12 10:28:00,6.28,Koyuk
Peter Kaiser,30,3/12 19:02:00,10,3/13 01:51:00,9,6h 49m,8h 41m,3/12 10:21:00,5.76,Koyuk
Richie Diehl,29,3/12 23:23:00,12,3/13 04:16:00,11,4h 53m,8h 0m,3/12 15:23:00,6.25,Koyuk
Travis Beals,60,3/12 22:19:00,12,3/13 04:20:00,10,6h 1m,9h 52m,3/12 12:27:00,5.07,Koyuk
Ramey Smyth,21,3/12 22:23:00,13,3/13 05:05:00,11,6h 42m,8h 57m,3/12 13:26:00,5.59,Koyuk
Jessie Holmes,41,3/13 01:20:00,12,3/13 06:40:00,12,5h 20m,7h 8m,3/12 18:12:00,7.01,Koyuk
Matt Hall,15,3/13 01:34:00,12,3/13 06:50:00,11,5h 16m,8h 50m,3/12 16:44:00,5.66,Koyuk
Linwood Fiedler,8,3/12 23:28:00,11,3/13 07:30:00,11,8h 2m,9h 6m,3/12 14:22:00,5.49,Koyuk
Aaron Burmeister,64,3/13 02:01:00,11,3/13 08:12:00,11,6h 11m,9h 17m,3/12 16:44:00,5.39,Koyuk
Jessie Royer,36,3/13 03:06:00,12,3/13 09:03:00,12,5h 57m,9h 11m,3/12 17:55:00,5.44,Koyuk
Matthew Failor,55,3/13 01:40:00,12,3/13 09:04:00,12,7h 24m,8h 22m,3/12 17:18:00,5.98,Koyuk
Ketil Reitan,54,3/13 03:08:00,10,3/13 09:12:00,10,6h 4m,9h 12m,3/12 17:56:00,5.43,Koyuk
Aliy Zirkle,31,3/13 03:07:00,10,3/13 09:14:00,10,6h 7m,9h 5m,3/12 18:02:00,5.50,Koyuk
Kelly Maixner,52,3/13 04:26:00,11,3/13 10:35:00,11,6h 9m,10h 30m,3/12 17:56:00,4.76,Koyuk
Michelle Phillips,18,3/13 05:25:00,12,3/13 12:12:00,12,6h 47m,9h 9m,3/12 20:16:00,5.46,Koyuk
Mats Pettersson,3,3/13 05:26:00,11,3/13 12:13:00,11,6h 47m,9h 9m,3/12 20:17:00,5.46,Koyuk
Hugh Neff,68,3/13 06:50:00,11,3/13 12:14:00,11,5h 24m,10h 31m,3/12 20:19:00,4.75,Koyuk
Lars Monsen,61,3/13 07:34:00,10,3/13 13:50:00,10,6h 16m,8h 51m,3/12 22:43:00,5.65,Koyuk
Anna Berington,4,3/13 18:24:00,10,3/14 01:09:00,10,6h 45m,7h 52m,3/13 10:32:00,6.36,Koyuk
Michi Konno,63,3/13 19:16:00,9,3/14 02:40:00,9,7h 24m,16h 20m,3/13 02:56:00,3.06,Koyuk
Katherine Keith,51,3/13 19:04:00,9,3/14 04:15:00,8,9h 11m,10h 22m,3/13 08:42:00,4.82,Koyuk
Martin Buser,28,3/13 22:09:00,12,3/14 06:40:00,12,8h 31m,9h 53m,3/13 12:16:00,5.06,Koyuk
Jeff King,40,3/13 19:00:00,12,3/14 07:00:00,12,12h 0m,8h 29m,3/13 10:31:00,5.89,Koyuk
"Michael Williams, Jr.",27,3/13 19:58:00,9,3/14 08:25:00,9,12h 27m,9h 22m,3/13 10:36:00,5.34,Koyuk
Rick Casillo,9,3/14 00:52:00,10,3/14 09:25:00,10,8h 33m,8h 50m,3/13 16:02:00,5.66,Koyuk
Cody Strathe,2,3/14 00:15:00,11,3/14 09:35:00,10,9h 20m,7h 46m,3/13 16:29:00,6.44,Koyuk
Tom Knolmayer,43,3/14 03:14:00,12,3/14 11:30:00,12,8h 16m,9h 0m,3/13 18:14:00,5.56,Koyuk
Charley Bejna,38,3/14 03:28:00,11,3/14 11:35:00,11,8h 7m,9h 14m,3/13 18:14:00,5.42,Koyuk
Noah Pereira,49,3/14 06:52:00,10,3/14 13:58:00,10,7h 6m,8h 11m,3/13 22:41:00,6.11,Koyuk
Larry Daugherty,14,3/14 06:39:00,13,3/14 14:15:00,12,7h 36m,17h 44m,3/13 12:55:00,2.82,Koyuk
Andrew Nolan,56,3/14 09:55:00,12,3/14 14:26:00,12,4h 31m,7h 35m,3/14 02:20:00,6.59,Koyuk
Jim Lanier,32,3/14 07:57:00,14,3/14 14:58:00,14,7h 1m,7h 11m,3/14 00:46:00,6.96,Koyuk
Emily Maxwell,58,3/14 08:28:00,10,3/14 15:00:00,9,6h 32m,7h 41m,3/14 00:47:00,6.51,Koyuk
Kristy Berington,20,3/14 11:11:00,12,3/14 18:20:00,12,7h 9m,7h 41m,3/14 03:30:00,6.51,Koyuk
Andy Pohl,12,3/14 11:12:00,11,3/14 18:22:00,11,7h 10m,7h 41m,3/14 03:31:00,6.51,Koyuk
Aaron Peck,50,3/14 11:07:00,12,3/14 18:33:00,10,7h 26m,7h 2m,3/14 04:05:00,7.11,Koyuk
Monica Zappa,48,3/14 15:11:00,12,3/14 23:08:00,12,7h 57m,7h 12m,3/14 07:59:00,6.94,Koyuk
Brett Bruggeman,37,3/14 15:10:00,14,3/14 23:23:00,14,8h 13m,7h 8m,3/14 08:02:00,7.01,Koyuk
Lev Shvarts,22,3/14 17:25:00,11,3/15 01:04:00,11,7h 39m,7h 20m,3/14 10:05:00,6.82,Koyuk
Scott Janssen,23,3/14 16:36:00,13,3/15 01:25:00,13,8h 49m,6h 27m,3/14 10:09:00,7.75,Koyuk
Misha Wiljes,19,3/14 20:44:00,12,3/15 04:31:00,12,7h 47m,8h 8m,3/14 12:36:00,6.15,Koyuk
Jeff Deeter,45,3/14 21:37:00,8,3/15 06:11:00,8,8h 34m,7h 17m,3/14 14:20:00,6.86,Koyuk
Peter Fleck,67,3/14 21:30:00,11,3/15 06:12:00,11,8h 42m,7h 10m,3/14 14:20:00,6.98,Koyuk
Bradley Farquhar,65,3/14 21:38:00,11,3/15 06:14:00,10,8h 36m,7h 17m,3/14 14:21:00,6.86,Koyuk
Dave Delcourt,57,3/15 01:13:00,10,3/15 09:39:00,10,8h 26m,7h 37m,3/14 17:36:00,6.56,Koyuk
Shaynee Traska,5,3/15 02:31:00,10,3/15 12:55:00,8,10h 24m,8h 58m,3/14 17:33:00,5.58,Koyuk
Tim Muto,42,3/15 05:06:00,12,3/15 13:05:00,12,7h 59m,6h 7m,3/14 22:59:00,8.17,Koyuk
Anja Radano,24,3/15 11:13:00,13,3/15 19:00:00,13,7h 47m,7h 57m,3/15 03:16:00,6.29,Koyuk
Meredith Mapes,16,3/15 13:19:00,10,3/15 20:53:00,10,7h 34m,7h 19m,3/15 06:00:00,6.83,Koyuk
Jason Stewart,66,3/15 14:07:00,13,3/15 21:39:00,13,7h 32m,6h 48m,3/15 07:19:00,7.35,Koyuk
Magnus Kaltenborn,6,3/15 16:34:00,14,3/15 22:20:00,14,5h 46m,7h 58m,3/15 08:36:00,6.28,Koyuk
Wade Marrs,11,3/12 22:25:00,9,,,,9h 44m,3/12 12:41:00,5.14,Koyuk
Alan Eischens,53,3/14 20:45:00,14,,,,10h 35m,3/14 10:10:00,4.72,Koyuk
