musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,speed,NA,NA,checkName
NA,"Satellite View
															Location: 63.0133, -154.3750
										Click here to view map",Mitch Seavey,13,3/6 08:27:00,14,3/6 12:49:00,13,4h 22m,13h 0m,3/5 19:27:00,5.77,Nikolai
NA,"Satellite View
															Location: 63.0133, -154.3750
										Click here to view map",Joar Leifseth Ulsom,33,3/6 08:56:00,16,3/6 13:06:00,16,4h 10m,13h 14m,3/5 19:42:00,5.67,Nikolai
NA,"Satellite View
															Location: 63.0133, -154.3750
										Click here to view map",Ryan Redington,7,3/6 08:06:00,13,3/6 13:13:00,12,5h 7m,12h 58m,3/5 19:08:00,5.78,Nikolai
NA,"Satellite View
															Location: 63.0133, -154.3750
										Click here to view map",Nicolas Petit,46,3/6 08:25:00,16,3/6 13:21:00,15,4h 56m,8h 56m,3/5 23:29:00,8.40,Nikolai
NA,"Satellite View
															Location: 63.0133, -154.3750
										Click here to view map",Aaron Burmeister,64,3/6 12:46:00,15,3/6 13:27:00,15,0h 41m,12h 28m,3/6 00:18:00,6.02,Nikolai
NA,"Satellite View
															Location: 63.0133, -154.3750
										Click here to view map",Wade Marrs,11,3/6 09:19:00,15,3/6 13:31:00,15,4h 12m,9h 54m,3/5 23:25:00,7.58,Nikolai
NA,"Satellite View
															Location: 63.0133, -154.3750
										Click here to view map",Ray Redington Jr,17,3/6 09:04:00,16,3/6 13:44:00,15,4h 40m,13h 28m,3/5 19:36:00,5.57,Nikolai
NA,"Satellite View
															Location: 63.0133, -154.3750
										Click here to view map",Jessie Royer,36,3/6 10:48:00,15,3/6 14:55:00,15,4h 7m,14h 34m,3/5 20:14:00,5.15,Nikolai
NA,"Satellite View
															Location: 63.0133, -154.3750
										Click here to view map",Aliy Zirkle,31,3/6 11:00:00,16,3/6 15:06:00,15,4h 6m,14h 25m,3/5 20:35:00,5.20,Nikolai
NA,"Satellite View
															Location: 63.0133, -154.3750
										Click here to view map",Linwood Fiedler,8,3/6 09:41:00,15,3/6 15:43:00,15,6h 2m,8h 57m,3/6 00:44:00,8.38,Nikolai
NA,"Satellite View
															Location: 63.0133, -154.3750
										Click here to view map",Richie Diehl,29,3/6 11:09:00,16,3/6 16:21:00,15,5h 12m,13h 8m,3/5 22:01:00,5.71,Nikolai
NA,"Satellite View
															Location: 63.0133, -154.3750
										Click here to view map",Peter Kaiser,30,3/6 12:26:00,15,3/6 16:23:00,14,3h 57m,12h 10m,3/6 00:16:00,6.16,Nikolai
NA,"Satellite View
															Location: 63.0133, -154.3750
										Click here to view map",Hugh Neff,68,3/6 11:31:00,15,3/6 16:30:00,14,4h 59m,9h 39m,3/6 01:52:00,7.77,Nikolai
NA,"Satellite View
															Location: 63.0133, -154.3750
										Click here to view map",Mats Pettersson,3,3/6 11:48:00,16,3/6 16:51:00,16,5h 3m,8h 53m,3/6 02:55:00,8.44,Nikolai
NA,"Satellite View
															Location: 63.0133, -154.3750
										Click here to view map",Michelle Phillips,18,3/6 11:46:00,15,3/6 17:02:00,15,5h 16m,13h 22m,3/5 22:24:00,5.61,Nikolai
NA,"Satellite View
															Location: 63.0133, -154.3750
										Click here to view map",Kelly Maixner,52,3/6 12:58:00,16,3/6 17:08:00,16,4h 10m,11h 22m,3/6 01:36:00,6.60,Nikolai
NA,"Satellite View
															Location: 63.0133, -154.3750
										Click here to view map",Robert Redington,34,3/6 12:45:00,13,3/6 17:09:00,13,4h 24m,9h 10m,3/6 03:35:00,8.18,Nikolai
NA,"Satellite View
															Location: 63.0133, -154.3750
										Click here to view map",Rick Casillo,9,3/6 12:55:00,14,3/6 17:32:00,14,4h 37m,13h 51m,3/5 23:04:00,5.42,Nikolai
NA,"Satellite View
															Location: 63.0133, -154.3750
										Click here to view map",Matt Hall,15,3/6 12:50:00,15,3/6 17:35:00,14,4h 45m,7h 50m,3/6 05:00:00,9.57,Nikolai
NA,"Satellite View
															Location: 63.0133, -154.3750
										Click here to view map",Martin Buser,28,3/6 13:00:00,16,3/6 17:40:00,16,4h 40m,6h 45m,3/6 06:15:00,11.11,Nikolai
NA,"Satellite View
															Location: 63.0133, -154.3750
										Click here to view map",Ramey Smyth,21,3/6 13:02:00,16,3/6 18:15:00,16,5h 13m,14h 13m,3/5 22:49:00,5.28,Nikolai
NA,"Satellite View
															Location: 63.0133, -154.3750
										Click here to view map",Ketil Reitan,54,3/6 13:07:00,15,3/6 18:17:00,14,5h 10m,15h 3m,3/5 22:04:00,4.98,Nikolai
NA,"Satellite View
															Location: 63.0133, -154.3750
										Click here to view map",Travis Beals,60,3/6 13:23:00,14,3/6 18:20:00,14,4h 57m,10h 33m,3/6 02:50:00,7.11,Nikolai
NA,"Satellite View
															Location: 63.0133, -154.3750
										Click here to view map",Lars Monsen,61,3/6 11:51:00,15,3/6 18:46:00,15,6h 55m,9h 9m,3/6 02:42:00,8.20,Nikolai
NA,"Satellite View
															Location: 63.0133, -154.3750
										Click here to view map",Tom Knolmayer,43,3/6 14:12:00,15,3/6 19:27:00,15,5h 15m,7h 37m,3/6 06:35:00,9.85,Nikolai
NA,"Satellite View
															Location: 63.0133, -154.3750
										Click here to view map",Michi Konno,63,3/6 14:25:00,15,3/6 19:31:00,14,5h 6m,9h 43m,3/6 04:42:00,7.72,Nikolai
NA,"Satellite View
															Location: 63.0133, -154.3750
										Click here to view map",Jessie Holmes,41,3/6 12:39:00,16,3/6 19:36:00,15,6h 57m,13h 10m,3/5 23:29:00,5.70,Nikolai
NA,"Satellite View
															Location: 63.0133, -154.3750
										Click here to view map",Cody Strathe,2,3/6 13:53:00,15,3/6 19:40:00,14,5h 47m,12h 13m,3/6 01:40:00,6.14,Nikolai
NA,"Satellite View
															Location: 63.0133, -154.3750
										Click here to view map",Jeff King,40,3/6 14:47:00,15,3/6 19:40:00,15,4h 53m,9h 47m,3/6 05:00:00,7.67,Nikolai
NA,"Satellite View
															Location: 63.0133, -154.3750
										Click here to view map",Katherine Keith,51,3/6 15:09:00,15,3/6 20:24:00,14,5h 15m,9h 12m,3/6 05:57:00,8.15,Nikolai
NA,"Satellite View
															Location: 63.0133, -154.3750
										Click here to view map",Matthew Failor,55,3/6 17:28:00,16,3/6 20:30:00,16,3h 2m,13h 10m,3/6 04:18:00,5.70,Nikolai
NA,"Satellite View
															Location: 63.0133, -154.3750
										Click here to view map",Anna Berington,4,3/6 15:45:00,13,3/6 20:46:00,13,5h 1m,12h 50m,3/6 02:55:00,5.84,Nikolai
NA,"Satellite View
															Location: 63.0133, -154.3750
										Click here to view map",Larry Daugherty,14,3/6 16:57:00,15,3/6 22:10:00,15,5h 13m,14h 26m,3/6 02:31:00,5.20,Nikolai
NA,"Satellite View
															Location: 63.0133, -154.3750
										Click here to view map",Bradley Farquhar,65,3/6 19:46:00,13,3/6 22:35:00,13,2h 49m,14h 36m,3/6 05:10:00,5.14,Nikolai
NA,"Satellite View
															Location: 63.0133, -154.3750
										Click here to view map",Kristy Berington,20,3/6 18:17:00,15,3/6 23:26:00,15,5h 9m,14h 17m,3/6 04:00:00,5.25,Nikolai
NA,"Satellite View
															Location: 63.0133, -154.3750
										Click here to view map",Andy Pohl,12,3/6 18:22:00,16,3/6 23:32:00,15,5h 10m,14h 17m,3/6 04:05:00,5.25,Nikolai
