musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,prevOut,checkName
Nicolas Petit,46,3/12 00:35:00,12,3/12 01:09:00,11,0h 34m,5h 40m,3/11 18:55:00,7.06,Shaktoolik
Mitch Seavey,13,3/12 03:14:00,10,3/12 03:43:00,9,0h 29m,5h 58m,3/11 21:16:00,6.70,Shaktoolik
Joar Leifseth Ulsom,33,3/12 01:55:00,13,3/12 04:48:00,13,2h 53m,5h 35m,3/11 20:20:00,7.16,Shaktoolik
Peter Kaiser,30,3/12 04:31:00,11,3/12 10:21:00,10,5h 50m,5h 55m,3/11 22:36:00,6.76,Shaktoolik
Ray Redington Jr,17,3/12 04:30:00,13,3/12 10:28:00,13,5h 58m,5h 57m,3/11 22:33:00,6.72,Shaktoolik
Travis Beals,60,3/12 08:12:00,12,3/12 12:27:00,12,4h 15m,6h 35m,3/12 01:37:00,6.08,Shaktoolik
Wade Marrs,11,3/12 08:43:00,9,3/12 12:41:00,9,3h 58m,6h 17m,3/12 02:26:00,6.37,Shaktoolik
Ramey Smyth,21,3/12 10:21:00,13,3/12 13:26:00,13,3h 5m,6h 15m,3/12 04:06:00,6.40,Shaktoolik
Linwood Fiedler,8,3/12 10:38:00,12,3/12 14:22:00,11,3h 44m,5h 54m,3/12 04:44:00,6.78,Shaktoolik
Richie Diehl,29,3/12 09:16:00,12,3/12 15:23:00,12,6h 7m,5h 45m,3/12 03:31:00,6.96,Shaktoolik
Matt Hall,15,3/12 12:10:00,13,3/12 16:44:00,12,4h 34m,6h 19m,3/12 05:51:00,6.33,Shaktoolik
Aaron Burmeister,64,3/12 12:26:00,11,3/12 16:44:00,11,4h 18m,6h 21m,3/12 06:05:00,6.30,Shaktoolik
Matthew Failor,55,3/12 12:06:00,14,3/12 17:18:00,12,5h 12m,6h 1m,3/12 06:05:00,6.65,Shaktoolik
Jessie Royer,36,3/12 12:42:00,12,3/12 17:55:00,12,5h 13m,6h 8m,3/12 06:34:00,6.52,Shaktoolik
Kelly Maixner,52,3/12 13:04:00,11,3/12 17:56:00,11,4h 52m,6h 36m,3/12 06:28:00,6.06,Shaktoolik
Ketil Reitan,54,3/12 13:09:00,11,3/12 17:56:00,10,4h 47m,6h 9m,3/12 07:00:00,6.50,Shaktoolik
Aliy Zirkle,31,3/12 12:41:00,10,3/12 18:02:00,10,5h 21m,6h 27m,3/12 06:14:00,6.20,Shaktoolik
Jessie Holmes,41,3/12 13:23:00,12,3/12 18:12:00,12,4h 49m,5h 36m,3/12 07:47:00,7.14,Shaktoolik
Michelle Phillips,18,3/12 14:08:00,12,3/12 20:16:00,12,6h 8m,6h 34m,3/12 07:34:00,6.09,Shaktoolik
Mats Pettersson,3,3/12 14:10:00,12,3/12 20:17:00,11,6h 7m,6h 32m,3/12 07:38:00,6.12,Shaktoolik
Hugh Neff,68,3/12 16:09:00,11,3/12 20:19:00,11,4h 10m,7h 9m,3/12 09:00:00,5.59,Shaktoolik
Lars Monsen,61,3/12 17:32:00,11,3/12 22:43:00,10,5h 11m,6h 28m,3/12 11:04:00,6.19,Shaktoolik
Michi Konno,63,3/12 20:32:00,9,3/13 02:56:00,9,6h 24m,6h 55m,3/12 13:37:00,5.78,Shaktoolik
Katherine Keith,51,3/13 00:28:00,9,3/13 08:42:00,9,8h 14m,6h 49m,3/12 17:39:00,5.87,Shaktoolik
Jeff King,40,3/13 01:46:00,12,3/13 10:31:00,12,8h 45m,6h 18m,3/12 19:28:00,6.35,Shaktoolik
Anna Berington,4,3/13 01:41:00,10,3/13 10:32:00,10,8h 51m,5h 56m,3/12 19:45:00,6.74,Shaktoolik
"Michael Williams, Jr.",27,3/13 03:41:00,9,3/13 10:36:00,9,6h 55m,6h 43m,3/12 20:58:00,5.96,Shaktoolik
Martin Buser,28,3/13 02:58:00,12,3/13 12:16:00,12,9h 18m,7h 29m,3/12 19:29:00,5.35,Shaktoolik
Larry Daugherty,14,3/13 07:43:00,13,3/13 12:55:00,13,5h 12m,7h 15m,3/13 00:28:00,5.52,Shaktoolik
Rick Casillo,9,3/13 03:21:00,11,3/13 16:02:00,10,12h 41m,6h 58m,3/12 20:23:00,5.74,Shaktoolik
Cody Strathe,2,3/13 04:07:00,11,3/13 16:29:00,11,12h 22m,6h 41m,3/12 21:26:00,5.99,Shaktoolik
Tom Knolmayer,43,3/13 09:29:00,12,3/13 18:14:00,12,8h 45m,6h 48m,3/13 02:41:00,5.88,Shaktoolik
Charley Bejna,38,3/13 09:48:00,12,3/13 18:14:00,11,8h 26m,6h 34m,3/13 03:14:00,6.09,Shaktoolik
Noah Pereira,49,3/13 16:27:00,10,3/13 22:41:00,10,6h 14m,6h 37m,3/13 09:50:00,6.05,Shaktoolik
Jim Lanier,32,3/13 16:36:00,15,3/14 00:46:00,14,8h 10m,6h 8m,3/13 10:28:00,6.52,Shaktoolik
Emily Maxwell,58,3/13 17:24:00,10,3/14 00:47:00,10,7h 23m,6h 54m,3/13 10:30:00,5.80,Shaktoolik
Andrew Nolan,56,3/13 20:15:00,12,3/14 02:20:00,12,6h 5m,6h 48m,3/13 13:27:00,5.88,Shaktoolik
Kristy Berington,20,3/13 20:45:00,12,3/14 03:30:00,12,6h 45m,6h 30m,3/13 14:15:00,6.15,Shaktoolik
Andy Pohl,12,3/13 20:46:00,11,3/14 03:31:00,11,6h 45m,6h 31m,3/13 14:15:00,6.14,Shaktoolik
Aaron Peck,50,3/13 20:01:00,12,3/14 04:05:00,12,8h 4m,6h 12m,3/13 13:49:00,6.45,Shaktoolik
Monica Zappa,48,3/13 23:47:00,13,3/14 07:59:00,12,8h 12m,6h 14m,3/13 17:33:00,6.42,Shaktoolik
Brett Bruggeman,37,3/13 23:47:00,14,3/14 08:02:00,14,8h 15m,6h 13m,3/13 17:34:00,6.43,Shaktoolik
Lev Shvarts,22,3/14 02:24:00,11,3/14 10:05:00,11,7h 41m,6h 23m,3/13 20:01:00,6.27,Shaktoolik
Scott Janssen,23,3/14 02:08:00,13,3/14 10:09:00,13,8h 1m,5h 40m,3/13 20:28:00,7.06,Shaktoolik
Alan Eischens,53,3/14 02:32:00,14,3/14 10:10:00,14,7h 38m,6h 4m,3/13 20:28:00,6.59,Shaktoolik
Misha Wiljes,19,3/14 07:23:00,12,3/14 12:36:00,12,5h 13m,6h 37m,3/14 00:46:00,6.05,Shaktoolik
Peter Fleck,67,3/14 07:47:00,11,3/14 14:20:00,11,6h 33m,5h 52m,3/14 01:55:00,6.82,Shaktoolik
Jeff Deeter,45,3/14 08:00:00,8,3/14 14:20:00,8,6h 20m,6h 10m,3/14 01:50:00,6.49,Shaktoolik
Bradley Farquhar,65,3/14 08:03:00,11,3/14 14:21:00,11,6h 18m,6h 8m,3/14 01:55:00,6.52,Shaktoolik
Shaynee Traska,5,3/14 10:20:00,10,3/14 17:33:00,10,7h 13m,6h 56m,3/14 03:24:00,5.77,Shaktoolik
Dave Delcourt,57,3/14 09:32:00,11,3/14 17:36:00,10,8h 4m,6h 12m,3/14 03:20:00,6.45,Shaktoolik
Tim Muto,42,3/14 16:16:00,12,3/14 22:59:00,12,6h 43m,5h 21m,3/14 10:55:00,7.48,Shaktoolik
Anja Radano,24,3/14 19:14:00,13,3/15 03:16:00,13,8h 2m,6h 22m,3/14 12:52:00,6.28,Shaktoolik
Meredith Mapes,16,3/14 22:16:00,10,3/15 06:00:00,10,7h 44m,6h 8m,3/14 16:08:00,6.52,Shaktoolik
Jason Stewart,66,3/14 22:50:00,13,3/15 07:19:00,13,8h 29m,6h 10m,3/14 16:40:00,6.49,Shaktoolik
Magnus Kaltenborn,6,3/15 00:59:00,14,3/15 08:36:00,14,7h 37m,6h 23m,3/14 18:36:00,6.27,Shaktoolik
Marcelle Fressineau,35,3/15 05:24:00,12,3/15 10:47:00,12,5h 23m,8h 38m,3/14 20:46:00,4.63,Shaktoolik
