musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,speed,checkName
Cody Strathe,2,3/7 02:40:00,14,3/7 02:51:00,14,0h 11m,7h 0m,3/6 19:40:00,6.86,McGrath
Jessie Holmes,41,3/7 02:21:00,15,3/7 02:53:00,15,0h 32m,6h 45m,3/6 19:36:00,7.11,McGrath
Travis Beals,60,3/7 01:13:00,14,3/7 03:16:00,14,2h 3m,6h 53m,3/6 18:20:00,6.97,McGrath
Matthew Failor,55,3/7 03:02:00,16,3/7 03:20:00,16,0h 18m,6h 32m,3/6 20:30:00,7.35,McGrath
Hugh Neff,68,3/7 00:03:00,14,3/7 03:29:00,14,3h 26m,7h 33m,3/6 16:30:00,6.36,McGrath
Ketil Reitan,54,3/7 01:20:00,14,3/7 05:18:00,14,3h 58m,7h 3m,3/6 18:17:00,6.81,McGrath
Larry Daugherty,14,3/7 05:52:00,15,3/7 05:53:00,15,0h 1m,7h 42m,3/6 22:10:00,6.23,McGrath
Martin Buser,28,3/7 01:00:00,16,3/7 06:08:00,16,5h 8m,7h 20m,3/6 17:40:00,6.55,McGrath
Tom Knolmayer,43,3/7 02:25:00,15,3/7 06:32:00,15,4h 7m,6h 58m,3/6 19:27:00,6.89,McGrath
"Michael Williams, Jr.",27,3/7 06:45:00,14,3/7 06:53:00,13,0h 8m,5h 35m,3/7 01:10:00,8.60,McGrath
Jeff King,40,3/7 02:30:00,15,3/7 08:05:00,15,5h 35m,6h 50m,3/6 19:40:00,7.02,McGrath
Anna Berington,4,3/7 03:40:00,13,3/7 08:30:00,13,4h 50m,6h 54m,3/6 20:46:00,6.96,McGrath
Charley Bejna,38,3/7 08:43:00,15,3/7 08:45:00,15,0h 2m,6h 15m,3/7 02:28:00,7.68,McGrath
Jim Lanier,32,3/7 09:45:00,15,3/7 09:45:00,15,0h 0m,6h 0m,3/7 03:45:00,8.00,McGrath
Scott Janssen,23,3/7 10:41:00,15,3/7 10:42:00,15,0h 1m,6h 27m,3/7 04:14:00,7.44,McGrath
Brett Bruggeman,37,3/7 11:06:00,15,3/7 11:08:00,15,0h 2m,6h 30m,3/7 04:36:00,7.38,McGrath
Emily Maxwell,58,3/7 10:26:00,14,3/7 11:44:00,13,1h 18m,7h 29m,3/7 02:57:00,6.41,McGrath
Kristy Berington,20,3/7 06:19:00,15,3/7 12:18:00,15,5h 59m,6h 53m,3/6 23:26:00,6.97,McGrath
Bradley Farquhar,65,3/7 06:12:00,13,3/7 12:19:00,12,6h 7m,7h 37m,3/6 22:35:00,6.30,McGrath
Andy Pohl,12,3/7 06:51:00,15,3/7 12:20:00,15,5h 29m,7h 19m,3/6 23:32:00,6.56,McGrath
Allen Moore,26,3/7 10:24:00,14,3/7 13:51:00,14,3h 27m,6h 58m,3/7 03:26:00,6.89,McGrath
Monica Zappa,48,3/7 13:52:00,15,3/7 18:46:00,15,4h 54m,6h 14m,3/7 07:38:00,7.70,McGrath
Shaynee Traska,5,3/7 20:08:00,16,3/7 20:31:00,15,0h 23m,10h 33m,3/7 09:35:00,4.55,McGrath
Nicolas Petit,46,3/6 20:37:00,15,3/7 21:21:00,14,24h 44m,7h 16m,3/6 13:21:00,6.61,McGrath
Aaron Burmeister,64,3/6 21:39:00,15,3/7 21:47:00,15,24h 8m,8h 12m,3/6 13:27:00,5.85,McGrath
Wade Marrs,11,3/6 21:02:00,15,3/7 22:56:00,15,25h 54m,7h 31m,3/6 13:31:00,6.39,McGrath
Dave Delcourt,57,3/7 23:11:00,14,3/7 23:12:00,14,0h 1m,10h 21m,3/7 12:50:00,4.64,McGrath
Ryan Redington,7,3/6 21:14:00,12,3/7 23:16:00,11,26h 2m,8h 1m,3/6 13:13:00,5.99,McGrath
Rob Cooke,10,3/7 19:46:00,16,3/8 00:25:00,16,4h 39m,7h 33m,3/7 12:13:00,6.36,McGrath
Robert Redington,34,3/7 00:26:00,13,3/8 01:34:00,13,25h 8m,7h 17m,3/6 17:09:00,6.59,McGrath
Rick Casillo,9,3/7 01:07:00,14,3/8 03:05:00,13,25h 58m,7h 35m,3/6 17:32:00,6.33,McGrath
Katherine Keith,51,3/7 04:15:00,14,3/8 04:50:00,14,24h 35m,7h 51m,3/6 20:24:00,6.11,McGrath
Marcelle Fressineau,35,3/7 23:52:00,14,3/8 04:55:00,13,5h 3m,7h 2m,3/7 16:50:00,6.82,McGrath
Tim Muto,42,3/7 23:13:00,13,3/8 05:33:00,13,6h 20m,6h 1m,3/7 17:12:00,7.98,McGrath
Steve Watkins,59,3/8 10:03:00,14,3/8 11:21:00,13,1h 18m,11h 4m,3/7 22:59:00,4.34,McGrath
Jeff Deeter,45,3/8 05:12:00,15,3/8 11:55:00,12,6h 43m,6h 17m,3/7 22:55:00,7.64,McGrath
Noah Pereira,49,3/7 11:22:00,15,3/8 12:00:00,14,24h 38m,6h 16m,3/7 05:06:00,7.66,McGrath
Aaron Peck,50,3/7 11:30:00,14,3/8 12:54:00,14,25h 24m,6h 22m,3/7 05:08:00,7.54,McGrath
Alan Eischens,53,3/7 11:37:00,15,3/8 14:20:00,14,26h 43m,5h 59m,3/7 05:38:00,8.02,McGrath
Andrew Nolan,56,3/7 15:47:00,13,3/8 16:56:00,13,25h 9m,7h 17m,3/7 08:30:00,6.59,McGrath
Lev Shvarts,22,3/7 16:54:00,16,3/8 18:26:00,16,25h 32m,7h 55m,3/7 08:59:00,6.06,McGrath
Meredith Mapes,16,3/7 18:37:00,14,3/8 20:37:00,13,26h 0m,6h 21m,3/7 12:16:00,7.56,McGrath
Peter Fleck,67,3/7 20:52:00,15,3/8 21:00:00,15,24h 8m,6h 12m,3/7 14:40:00,7.74,McGrath
Magnus Kaltenborn,6,3/7 19:41:00,16,3/8 21:45:00,16,26h 4m,6h 56m,3/7 12:45:00,6.92,McGrath
Scott White,62,3/7 21:29:00,14,3/8 21:55:00,12,24h 26m,6h 35m,3/7 14:54:00,7.29,McGrath
Misha Wiljes,19,3/7 19:56:00,14,3/8 22:25:00,14,26h 29m,6h 24m,3/7 13:32:00,7.50,McGrath
Anja Radano,24,3/7 21:13:00,15,3/8 23:08:00,15,25h 55m,6h 36m,3/7 14:37:00,7.27,McGrath
Jason Stewart,66,3/7 23:10:00,15,3/9 00:31:00,15,25h 21m,6h 19m,3/7 16:51:00,7.60,McGrath
Tara Cicatello,44,3/8 06:54:00,13,3/9 08:40:00,13,25h 46m,7h 42m,3/7 23:12:00,6.23,McGrath
Tom Schonberger,25,3/8 09:21:00,13,3/9 10:47:00,11,25h 26m,11h 6m,3/7 22:15:00,4.32,McGrath
