musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,speed,checkName
Mitch Seavey,13,3/6 19:18:00,13,3/6 19:22:00,13,0h 4m,6h 29m,3/6 12:49:00,7.40,McGrath
Ray Redington Jr,17,3/6 21:21:00,15,3/6 21:25:00,15,0h 4m,7h 37m,3/6 13:44:00,6.30,McGrath
Jessie Royer,36,3/6 22:27:00,15,3/6 22:30:00,14,0h 3m,7h 32m,3/6 14:55:00,6.37,McGrath
Linwood Fiedler,8,3/6 22:46:00,15,3/6 22:48:00,15,0h 2m,7h 3m,3/6 15:43:00,6.81,McGrath
Aliy Zirkle,31,3/6 22:51:00,15,3/6 22:53:00,15,0h 2m,7h 45m,3/6 15:06:00,6.19,McGrath
Joar Leifseth Ulsom,33,3/6 19:59:00,16,3/6 23:06:00,16,3h 7m,6h 53m,3/6 13:06:00,6.97,McGrath
Peter Kaiser,30,3/6 23:42:00,14,3/6 23:46:00,14,0h 4m,7h 19m,3/6 16:23:00,6.56,McGrath
Richie Diehl,29,3/6 23:44:00,15,3/6 23:46:00,15,0h 2m,7h 23m,3/6 16:21:00,6.50,McGrath
Mats Pettersson,3,3/6 23:46:00,16,3/7 00:22:00,16,0h 36m,6h 55m,3/6 16:51:00,6.94,McGrath
Kelly Maixner,52,3/7 00:40:00,16,3/7 00:50:00,16,0h 10m,7h 32m,3/6 17:08:00,6.37,McGrath
Michelle Phillips,18,3/7 00:35:00,15,3/7 01:00:00,15,0h 25m,7h 33m,3/6 17:02:00,6.36,McGrath
Matt Hall,15,3/7 01:04:00,14,3/7 01:05:00,14,0h 1m,7h 29m,3/6 17:35:00,6.41,McGrath
Lars Monsen,61,3/7 01:32:00,15,3/7 01:33:00,15,0h 1m,6h 46m,3/6 18:46:00,7.09,McGrath
Ramey Smyth,21,3/7 01:53:00,16,3/7 01:54:00,16,0h 1m,7h 38m,3/6 18:15:00,6.29,McGrath
Michi Konno,63,3/7 02:39:00,14,3/7 02:51:00,14,0h 12m,7h 8m,3/6 19:31:00,6.73,McGrath
