musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,speed,checkName
Jeff King,40,3/15 13:50:00,12,3/15 13:54:00,12,0h 4m,6h 1m,3/15 07:49:00,9.14,Safety
"Michael Williams, Jr.",27,3/15 15:48:00,9,3/15 15:52:00,9,0h 4m,6h 37m,3/15 09:11:00,8.31,Safety
Katherine Keith,51,3/15 17:17:00,8,3/15 17:18:00,8,0h 1m,7h 43m,3/15 09:34:00,7.13,Safety
Rick Casillo,9,3/15 19:15:00,10,3/15 19:16:00,10,0h 1m,7h 4m,3/15 12:11:00,7.78,Safety
Martin Buser,28,3/15 20:47:00,12,3/15 20:48:00,12,0h 1m,7h 25m,3/15 13:22:00,7.42,Safety
Cody Strathe,2,3/15 21:43:00,9,3/15 21:45:00,9,0h 2m,6h 27m,3/15 15:16:00,8.53,Safety
Andrew Nolan,56,3/15 22:12:00,11,3/15 22:14:00,11,0h 2m,6h 10m,3/15 16:02:00,8.92,Safety
Noah Pereira,49,3/15 23:35:00,10,3/15 23:37:00,10,0h 2m,6h 35m,3/15 17:00:00,8.35,Safety
Tom Knolmayer,43,3/16 00:20:00,10,3/16 00:21:00,10,0h 1m,6h 32m,3/15 17:48:00,8.42,Safety
Charley Bejna,38,3/16 01:50:00,11,3/16 02:06:00,9,0h 16m,7h 37m,3/15 18:13:00,7.22,Safety
Emily Maxwell,58,3/16 02:09:00,9,3/16 02:10:00,9,0h 1m,6h 24m,3/15 19:45:00,8.59,Safety
Aaron Peck,50,3/16 02:48:00,10,3/16 02:50:00,9,0h 2m,6h 16m,3/15 20:32:00,8.78,Safety
Kristy Berington,20,3/16 04:13:00,10,3/16 04:15:00,10,0h 2m,6h 31m,3/15 21:42:00,8.44,Safety
Andy Pohl,12,3/16 04:15:00,10,3/16 04:16:00,10,0h 1m,6h 31m,3/15 21:44:00,8.44,Safety
Larry Daugherty,14,3/16 07:08:00,12,3/16 07:22:00,11,0h 14m,7h 48m,3/15 23:20:00,7.05,Safety
Monica Zappa,48,3/16 08:21:00,12,3/16 08:28:00,12,0h 7m,6h 32m,3/16 01:49:00,8.42,Safety
Brett Bruggeman,37,3/16 08:21:00,14,3/16 08:28:00,14,0h 7m,6h 29m,3/16 01:52:00,8.48,Safety
Lev Shvarts,22,3/16 10:07:00,10,3/16 10:18:00,10,0h 11m,6h 51m,3/16 03:16:00,8.03,Safety
Peter Fleck,67,3/16 15:42:00,11,3/16 15:43:00,11,0h 1m,5h 51m,3/16 09:51:00,9.40,Safety
Jeff Deeter,45,3/16 16:40:00,8,3/16 16:41:00,8,0h 1m,6h 41m,3/16 09:59:00,8.23,Safety
Bradley Farquhar,65,3/16 16:45:00,10,3/16 16:46:00,10,0h 1m,7h 3m,3/16 09:42:00,7.80,Safety
Misha Wiljes,19,3/16 17:25:00,12,3/16 17:29:00,12,0h 4m,10h 22m,3/16 07:03:00,5.31,Safety
Dave Delcourt,57,3/16 20:38:00,10,3/16 20:41:00,10,0h 3m,6h 14m,3/16 14:24:00,8.82,Safety
Tim Muto,42,3/16 20:47:00,12,3/16 20:49:00,12,0h 2m,5h 25m,3/16 15:22:00,10.15,Safety
Shaynee Traska,5,3/17 03:53:00,7,3/17 03:56:00,7,0h 3m,8h 8m,3/16 19:45:00,6.76,Safety
Meredith Mapes,16,3/17 05:55:00,10,3/17 06:05:00,10,0h 10m,5h 46m,3/17 00:09:00,9.54,Safety
Jason Stewart,66,3/17 08:06:00,12,3/17 08:08:00,12,0h 2m,6h 27m,3/17 01:39:00,8.53,Safety
Anja Radano,24,3/17 08:07:00,12,3/17 08:11:00,12,0h 4m,7h 36m,3/17 00:31:00,7.24,Safety
Magnus Kaltenborn,6,3/17 08:10:00,13,3/17 08:11:00,13,0h 1m,6h 43m,3/17 01:27:00,8.19,Safety
Jim Lanier,32,3/16 11:30:00,13,,,,12h 13m,3/15 23:17:00,4.50,Safety
Scott Janssen,23,3/16 11:30:00,11,,,,9h 53m,3/16 01:37:00,5.56,Safety
