musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,speed,checkName
Joar Leifseth Ulsom,33,3/13 23:48:00,10,3/13 23:53:00,8,0h 5m,7h 56m,3/13 15:52:00,6.93,Safety
Nicolas Petit,46,3/14 03:05:00,10,3/14 03:06:00,10,0h 1m,7h 31m,3/13 19:34:00,7.32,Safety
Mitch Seavey,13,3/14 05:18:00,9,3/14 05:19:00,9,0h 1m,7h 18m,3/13 22:00:00,7.53,Safety
Ray Redington Jr,17,3/14 09:02:00,11,3/14 09:03:00,11,0h 1m,7h 14m,3/14 01:48:00,7.60,Safety
Peter Kaiser,30,3/14 09:54:00,8,3/14 09:55:00,8,0h 1m,7h 16m,3/14 02:38:00,7.57,Safety
Richie Diehl,29,3/14 11:20:00,11,3/14 11:23:00,10,0h 3m,6h 31m,3/14 04:49:00,8.44,Safety
Jessie Holmes,41,3/14 11:49:00,10,3/14 11:50:00,10,0h 1m,6h 8m,3/14 05:41:00,8.97,Safety
Ramey Smyth,21,3/14 12:37:00,9,3/14 12:39:00,9,0h 2m,6h 46m,3/14 05:51:00,8.13,Safety
Travis Beals,60,3/14 12:40:00,10,3/14 12:41:00,10,0h 1m,7h 7m,3/14 05:33:00,7.73,Safety
Linwood Fiedler,8,3/14 13:20:00,10,3/14 13:21:00,10,0h 1m,7h 3m,3/14 06:17:00,7.80,Safety
Matt Hall,15,3/14 15:26:00,9,3/14 15:27:00,9,0h 1m,7h 17m,3/14 08:09:00,7.55,Safety
Aaron Burmeister,64,3/14 16:06:00,11,3/14 16:07:00,11,0h 1m,7h 43m,3/14 08:23:00,7.13,Safety
Ketil Reitan,54,3/14 18:07:00,9,3/14 18:08:00,9,0h 1m,6h 29m,3/14 11:38:00,8.48,Safety
Matthew Failor,55,3/14 18:07:00,12,3/14 18:09:00,11,0h 2m,6h 39m,3/14 11:28:00,8.27,Safety
Aliy Zirkle,31,3/14 18:43:00,10,3/14 18:45:00,10,0h 2m,6h 44m,3/14 11:59:00,8.17,Safety
Jessie Royer,36,3/14 19:39:00,11,3/14 19:45:00,9,0h 6m,7h 25m,3/14 12:14:00,7.42,Safety
Kelly Maixner,52,3/14 19:54:00,10,3/14 19:55:00,10,0h 1m,7h 46m,3/14 12:08:00,7.08,Safety
Mats Pettersson,3,3/14 23:19:00,11,3/14 23:20:00,11,0h 1m,6h 11m,3/14 17:08:00,8.89,Safety
Lars Monsen,61,3/14 23:43:00,9,3/14 23:44:00,9,0h 1m,6h 28m,3/14 17:15:00,8.51,Safety
Michelle Phillips,18,3/14 23:57:00,12,3/14 23:58:00,12,0h 1m,6h 47m,3/14 17:10:00,8.11,Safety
Hugh Neff,68,3/15 04:02:00,9,3/15 04:59:00,9,0h 57m,8h 51m,3/14 19:11:00,6.21,Safety
Anna Berington,4,3/15 10:00:00,10,3/15 10:03:00,10,0h 3m,6h 34m,3/15 03:26:00,8.38,Safety
Michi Konno,63,3/15 12:13:00,9,3/15 12:29:00,8,0h 16m,7h 34m,3/15 04:39:00,7.27,Safety
