musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,speed,checkName
Nicolas Petit,46,3/9 02:02:00,14,3/9 02:12:00,14,0h 10m,7h 0m,3/8 19:02:00,7.86,Shageluk
Mitch Seavey,13,3/9 02:56:00,13,3/9 07:28:00,13,4h 32m,7h 10m,3/8 19:46:00,7.67,Shageluk
Joar Leifseth Ulsom,33,3/9 04:42:00,15,3/9 07:42:00,15,3h 0m,7h 4m,3/8 21:38:00,7.78,Shageluk
Mats Pettersson,3,3/9 14:00:00,14,3/9 14:27:00,14,0h 27m,11h 45m,3/9 02:15:00,4.68,Shageluk
Richie Diehl,29,3/9 07:25:00,13,3/9 15:25:00,13,8h 0m,7h 43m,3/8 23:42:00,7.13,Shageluk
Peter Kaiser,30,3/9 07:29:00,12,3/9 15:29:00,12,8h 0m,7h 39m,3/8 23:50:00,7.19,Shageluk
Ray Redington Jr,17,3/9 07:34:00,15,3/9 15:34:00,14,8h 0m,7h 44m,3/8 23:50:00,7.11,Shageluk
Jessie Royer,36,3/9 07:58:00,14,3/9 15:58:00,14,8h 0m,8h 13m,3/8 23:45:00,6.69,Shageluk
Wade Marrs,11,3/9 07:58:00,12,3/9 15:58:00,12,8h 0m,7h 51m,3/9 00:07:00,7.01,Shageluk
Linwood Fiedler,8,3/9 08:01:00,14,3/9 16:01:00,13,8h 0m,7h 52m,3/9 00:09:00,6.99,Shageluk
Aaron Burmeister,64,3/9 08:15:00,13,3/9 16:15:00,13,8h 0m,8h 11m,3/9 00:04:00,6.72,Shageluk
Aliy Zirkle,31,3/9 08:52:00,14,3/9 16:53:00,14,8h 1m,8h 31m,3/9 00:21:00,6.46,Shageluk
Ketil Reitan,54,3/9 13:08:00,13,3/9 17:06:00,13,3h 58m,9h 3m,3/9 04:05:00,6.08,Shageluk
Lars Monsen,61,3/9 13:50:00,15,3/9 17:30:00,15,3h 40m,8h 20m,3/9 05:30:00,6.60,Shageluk
Travis Beals,60,3/9 09:38:00,14,3/9 17:38:00,14,8h 0m,8h 7m,3/9 01:31:00,6.78,Shageluk
Kelly Maixner,52,3/9 13:25:00,15,3/9 17:41:00,15,4h 16m,11h 49m,3/9 01:36:00,4.65,Shageluk
Hugh Neff,68,3/9 09:49:00,13,3/9 17:49:00,12,8h 0m,9h 15m,3/9 00:34:00,5.95,Shageluk
Michelle Phillips,18,3/9 14:29:00,14,3/9 18:25:00,13,3h 56m,12h 26m,3/9 02:03:00,4.42,Shageluk
Matthew Failor,55,3/9 10:59:00,16,3/9 19:01:00,16,8h 2m,7h 56m,3/9 03:03:00,6.93,Shageluk
Matt Hall,15,3/9 11:11:00,14,3/9 19:11:00,14,8h 0m,8h 27m,3/9 02:44:00,6.51,Shageluk
Ramey Smyth,21,3/9 11:59:00,14,3/9 19:59:00,14,8h 0m,8h 47m,3/9 03:12:00,6.26,Shageluk
Martin Buser,28,3/9 13:28:00,15,3/9 21:28:00,15,8h 0m,9h 39m,3/9 03:49:00,5.70,Shageluk
Michi Konno,63,3/9 13:31:00,13,3/9 21:32:00,12,8h 1m,9h 17m,3/9 04:14:00,5.92,Shageluk
Ryan Redington,7,3/9 14:11:00,11,3/9 22:19:00,11,8h 8m,9h 31m,3/9 04:40:00,5.78,Shageluk
Cody Strathe,2,3/9 19:06:00,14,3/9 23:06:00,13,4h 0m,13h 28m,3/9 05:38:00,4.08,Shageluk
Rick Casillo,9,3/9 16:20:00,13,3/10 00:33:00,12,8h 13m,12h 27m,3/9 03:53:00,4.42,Shageluk
Tom Knolmayer,43,3/9 21:31:00,13,3/10 01:46:00,13,4h 15m,11h 30m,3/9 10:01:00,4.78,Shageluk
Katherine Keith,51,3/9 19:55:00,14,3/10 02:29:00,14,6h 34m,10h 11m,3/9 09:44:00,5.40,Shageluk
