musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,speed,checkName
Jessie Holmes,41,3/9 19:30:00,15,3/10 03:32:00,14,8h 2m,12h 26m,3/9 07:04:00,4.42,Shageluk
Anna Berington,4,3/9 19:42:00,12,3/10 03:50:00,12,8h 8m,8h 31m,3/9 11:11:00,6.46,Shageluk
Larry Daugherty,14,3/10 03:59:00,15,3/10 04:23:00,15,0h 24m,8h 35m,3/9 19:24:00,6.41,Shageluk
"Michael Williams, Jr.",27,3/10 00:54:00,13,3/10 05:40:00,12,4h 46m,11h 3m,3/9 13:51:00,4.98,Shageluk
Jeff King,40,3/10 00:53:00,13,3/10 06:07:00,13,5h 14m,7h 49m,3/9 17:04:00,7.04,Shageluk
Charley Bejna,38,3/9 22:42:00,14,3/10 06:29:00,14,7h 47m,8h 40m,3/9 14:02:00,6.35,Shageluk
Robert Redington,34,3/9 13:24:00,12,3/10 10:07:00,11,20h 43m,9h 14m,3/9 04:10:00,5.96,Shageluk
Bradley Farquhar,65,3/10 06:18:00,11,3/10 12:10:00,11,5h 52m,8h 19m,3/9 21:59:00,6.61,Shageluk
Noah Pereira,49,3/10 11:00:00,12,3/10 13:00:00,11,2h 0m,13h 45m,3/9 21:15:00,4.00,Shageluk
Jim Lanier,32,3/10 06:39:00,15,3/10 13:26:00,15,6h 47m,7h 29m,3/9 23:10:00,7.35,Shageluk
Emily Maxwell,58,3/10 06:17:00,13,3/10 14:17:00,13,8h 0m,8h 7m,3/9 22:10:00,6.78,Shageluk
Aaron Peck,50,3/10 11:09:00,14,3/10 14:45:00,14,3h 36m,12h 32m,3/9 22:37:00,4.39,Shageluk
Andy Pohl,12,3/10 09:32:00,12,3/10 15:18:00,12,5h 46m,12h 7m,3/9 21:25:00,4.54,Shageluk
Kristy Berington,20,3/10 08:30:00,13,3/10 15:32:00,13,7h 2m,11h 6m,3/9 21:24:00,4.95,Shageluk
Monica Zappa,48,3/10 13:43:00,14,3/10 18:28:00,14,4h 45m,11h 4m,3/10 02:39:00,4.97,Shageluk
Lev Shvarts,22,3/10 18:31:00,14,3/10 18:37:00,14,0h 6m,10h 39m,3/10 07:52:00,5.16,Shageluk
Dave Delcourt,57,3/10 13:01:00,14,3/10 18:59:00,13,5h 58m,8h 1m,3/10 05:00:00,6.86,Shageluk
Allen Moore,26,3/10 13:42:00,13,3/10 19:38:00,13,5h 56m,10h 40m,3/10 03:02:00,5.16,Shageluk
Brett Bruggeman,37,3/10 13:43:00,15,3/10 19:45:00,15,6h 2m,10h 34m,3/10 03:09:00,5.21,Shageluk
Scott Janssen,23,3/10 11:52:00,14,3/10 20:25:00,14,8h 33m,10h 14m,3/10 01:38:00,5.37,Shageluk
Shaynee Traska,5,3/10 17:55:00,15,3/10 21:35:00,13,3h 40m,10h 59m,3/10 06:56:00,5.01,Shageluk
Peter Fleck,67,3/10 21:57:00,14,3/10 22:06:00,14,0h 9m,12h 5m,3/10 09:52:00,4.55,Shageluk
Andrew Nolan,56,3/10 14:17:00,12,3/10 22:27:00,12,8h 10m,7h 34m,3/10 06:43:00,7.27,Shageluk
Jeff Deeter,45,3/10 14:29:00,10,3/10 22:37:00,9,8h 8m,11h 26m,3/10 03:03:00,4.81,Shageluk
Alan Eischens,53,3/10 15:09:00,14,3/11 00:29:00,14,9h 20m,8h 15m,3/10 06:54:00,6.67,Shageluk
Meredith Mapes,16,3/10 16:41:00,12,3/11 03:12:00 *,12,9h 31m,7h 46m,3/10 08:55:00,7.08,Shageluk
Rob Cooke,10,3/10 18:30:00,14,3/11 03:31:00 *,14,8h 1m,9h 3m,3/10 09:27:00,6.08,Shageluk
Misha Wiljes,19,3/10 18:29:00,14,3/11 03:50:00 *,14,8h 21m,7h 35m,3/10 10:54:00,7.25,Shageluk
Anja Radano,24,3/10 23:10:00,13,3/11 04:42:00 *,13,4h 32m,11h 13m,3/10 11:57:00,4.90,Shageluk
Jason Stewart,66,3/10 18:30:00,15,3/11 05:19:00 *,15,9h 49m,7h 16m,3/10 11:14:00,7.57,Shageluk
Magnus Kaltenborn,6,3/10 22:57:00,16,3/11 06:07:00 *,16,6h 10m,11h 19m,3/10 11:38:00,4.86,Shageluk
Tim Muto,42,3/10 23:48:00,13,3/11 07:00:00 *,13,6h 12m,11h 11m,3/10 12:37:00,4.92,Shageluk
Marcelle Fressineau,35,3/10 23:22:00,13,3/11 08:22:00 *,13,8h 0m,9h 9m,3/10 14:13:00,6.01,Shageluk
Tara Cicatello,44,3/11 16:26:00,13,3/12 00:27:00,13,8h 1m,13h 19m,3/11 03:07:00,4.13,Shageluk
Steve Watkins,59,3/11 17:14:00,13,3/12 01:07:00,12,7h 53m,12h 44m,3/11 04:30:00,4.32,Shageluk
Tom Schonberger,25,3/11 19:16:00,11,3/12 01:55:00,11,6h 39m,13h 45m,3/11 05:31:00,4.00,Shageluk
