musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,prevOut,checkName
Dave Delcourt,57,3/5 23:23:00,16,3/6 05:28:00,15,6h 5m,4h 17m,3/5 19:06:00,7.00,Rainy Pass
Scott White,62,3/6 00:11:00,14,3/6 05:30:00,14,5h 19m,3h 42m,3/5 20:29:00,8.11,Rainy Pass
Jason Stewart,66,3/5 23:42:00,16,3/6 05:36:00,16,5h 54m,4h 13m,3/5 19:29:00,7.11,Rainy Pass
Steve Watkins,59,3/5 22:15:00,16,3/6 05:40:00,16,7h 25m,4h 33m,3/5 17:42:00,6.59,Rainy Pass
Tim Muto,42,3/6 00:01:00,13,3/6 06:16:00,13,6h 15m,3h 48m,3/5 20:13:00,7.89,Rainy Pass
Marcelle Fressineau,35,3/5 22:35:00,14,3/6 06:41:00,14,8h 6m,5h 18m,3/5 17:17:00,5.66,Rainy Pass
Peter Fleck,67,3/6 00:42:00,15,3/6 06:58:00,15,6h 16m,4h 4m,3/5 20:38:00,7.38,Rainy Pass
Anja Radano,24,3/5 23:59:00,16,3/6 07:04:00,16,7h 5m,4h 44m,3/5 19:15:00,6.34,Rainy Pass
Tom Schonberger,25,3/6 03:17:00,16,3/6 08:40:00,16,5h 23m,4h 54m,3/5 22:23:00,6.12,Rainy Pass
Tara Cicatello,44,3/6 03:14:00,13,3/6 11:04:00,13,7h 50m,5h 1m,3/5 22:13:00,5.98,Rainy Pass
DeeDee Jonrowe,39,3/5 16:41:00,16,,,,4h 22m,3/5 12:19:00,6.87,Rainy Pass
