musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,speed,checkName
Joar Leifseth Ulsom,33,3/14 03:00:00,8,,,,3h 7m,3/13 23:53:00,7.06,Nome
Nicolas Petit,46,3/14 05:15:03,10,,,,2h 9m,3/14 03:06:00,10.23,Nome
Mitch Seavey,13,3/14 08:11:15,9,,,,2h 52m,3/14 05:19:00,7.67,Nome
Ray Redington Jr,17,3/14 12:03:01,11,,,,3h 0m,3/14 09:03:00,7.33,Nome
Peter Kaiser,30,3/14 13:09:02,8,,,,3h 14m,3/14 09:55:00,6.80,Nome
Richie Diehl,29,3/14 14:19:47,10,,,,2h 56m,3/14 11:23:00,7.50,Nome
Jessie Holmes,41,3/14 14:39:40,10,,,,2h 49m,3/14 11:50:00,7.81,Nome
Ramey Smyth,21,3/14 15:10:35,9,,,,2h 31m,3/14 12:39:00,8.74,Nome
Travis Beals,60,3/14 15:46:51,10,,,,3h 5m,3/14 12:41:00,7.14,Nome
Linwood Fiedler,8,3/14 16:27:54,10,,,,3h 6m,3/14 13:21:00,7.10,Nome
Matt Hall,15,3/14 18:36:51,9,,,,3h 9m,3/14 15:27:00,6.98,Nome
Aaron Burmeister,64,3/14 19:29:07,11,,,,3h 22m,3/14 16:07:00,6.53,Nome
Matthew Failor,55,3/14 20:53:52,11,,,,2h 44m,3/14 18:09:00,8.05,Nome
Ketil Reitan,54,3/14 20:54:04,9,,,,2h 46m,3/14 18:08:00,7.95,Nome
Aliy Zirkle,31,3/14 21:42:22,10,,,,2h 57m,3/14 18:45:00,7.46,Nome
Jessie Royer,36,3/14 22:59:10,9,,,,3h 14m,3/14 19:45:00,6.80,Nome
Kelly Maixner,52,3/14 23:34:30,10,,,,3h 39m,3/14 19:55:00,6.03,Nome
Mats Pettersson,3,3/15 01:55:23,11,,,,2h 35m,3/14 23:20:00,8.52,Nome
Michelle Phillips,18,3/15 02:36:46,12,,,,2h 38m,3/14 23:58:00,8.35,Nome
Lars Monsen,61,3/15 02:38:03,9,,,,2h 54m,3/14 23:44:00,7.59,Nome
Hugh Neff,68,3/15 08:56:15,9,,,,3h 57m,3/15 04:59:00,5.57,Nome
Anna Berington,4,3/15 12:44:20,10,,,,2h 41m,3/15 10:03:00,8.20,Nome
Michi Konno,63,3/15 15:35:02,8,,,,3h 6m,3/15 12:29:00,7.10,Nome
Jeff King,40,3/15 16:36:32,12,,,,2h 42m,3/15 13:54:00,8.15,Nome
"Michael Williams, Jr.",27,3/15 18:16:46,9,,,,2h 24m,3/15 15:52:00,9.17,Nome
Katherine Keith,51,3/15 20:35:10,8,,,,3h 17m,3/15 17:18:00,6.70,Nome
Rick Casillo,9,3/15 22:29:17,10,,,,3h 13m,3/15 19:16:00,6.84,Nome
Martin Buser,28,3/16 00:02:14,12,,,,3h 14m,3/15 20:48:00,6.80,Nome
Cody Strathe,2,3/16 00:26:47,9,,,,2h 41m,3/15 21:45:00,8.20,Nome
Andrew Nolan,56,3/16 01:03:36,11,,,,2h 49m,3/15 22:14:00,7.81,Nome
Noah Pereira,49,3/16 02:22:12,10,,,,2h 45m,3/15 23:37:00,8.00,Nome
Tom Knolmayer,43,3/16 03:20:30,10,,,,2h 59m,3/16 00:21:00,7.37,Nome
Emily Maxwell,58,3/16 04:55:56,9,,,,2h 45m,3/16 02:10:00,8.00,Nome
Aaron Peck,50,3/16 05:42:06,9,,,,2h 52m,3/16 02:50:00,7.67,Nome
Charley Bejna,38,3/16 05:43:06,9,,,,3h 37m,3/16 02:06:00,6.08,Nome
Kristy Berington,20,3/16 07:08:55,10,,,,2h 53m,3/16 04:15:00,7.63,Nome
Andy Pohl,12,3/16 07:10:31,10,,,,2h 54m,3/16 04:16:00,7.59,Nome
Monica Zappa,48,3/16 11:20:43,12,,,,2h 52m,3/16 08:28:00,7.67,Nome
Brett Bruggeman,37,3/16 11:21:08,14,,,,2h 53m,3/16 08:28:00,7.63,Nome
Larry Daugherty,14,3/16 11:42:06,11,,,,4h 20m,3/16 07:22:00,5.08,Nome
Lev Shvarts,22,3/16 13:12:14,10,,,,2h 54m,3/16 10:18:00,7.59,Nome
Peter Fleck,67,3/16 18:27:31,11,,,,2h 44m,3/16 15:43:00,8.05,Nome
Jeff Deeter,45,3/16 19:50:40,8,,,,3h 9m,3/16 16:41:00,6.98,Nome
Bradley Farquhar,65,3/16 19:58:38,10,,,,3h 12m,3/16 16:46:00,6.88,Nome
Misha Wiljes,19,3/16 20:37:32,12,,,,3h 8m,3/16 17:29:00,7.02,Nome
Tim Muto,42,3/16 23:17:57,12,,,,2h 28m,3/16 20:49:00,8.92,Nome
Dave Delcourt,57,3/16 23:34:19,10,,,,2h 53m,3/16 20:41:00,7.63,Nome
Shaynee Traska,5,3/17 07:08:25,7,,,,3h 12m,3/17 03:56:00,6.88,Nome
Meredith Mapes,16,3/17 08:35:58,10,,,,2h 30m,3/17 06:05:00,8.80,Nome
Jason Stewart,66,3/17 10:53:10,12,,,,2h 45m,3/17 08:08:00,8.00,Nome
Anja Radano,24,3/17 11:00:10,12,,,,2h 49m,3/17 08:11:00,7.81,Nome
Magnus Kaltenborn,6,3/17 11:13:14,13,,,,3h 2m,3/17 08:11:00,7.25,Nome
