musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,prevOut,checkName
Mitch Seavey,13,3/6 08:27:00,14,3/6 12:49:00,13,4h 22m,13h 0m,3/5 19:27:00,5.77,Nikolai
Joar Leifseth Ulsom,33,3/6 08:56:00,16,3/6 13:06:00,16,4h 10m,13h 14m,3/5 19:42:00,5.67,Nikolai
Ryan Redington,7,3/6 08:06:00,13,3/6 13:13:00,12,5h 7m,12h 58m,3/5 19:08:00,5.78,Nikolai
Nicolas Petit,46,3/6 08:25:00,16,3/6 13:21:00,15,4h 56m,8h 56m,3/5 23:29:00,8.40,Nikolai
Aaron Burmeister,64,3/6 12:46:00,15,3/6 13:27:00,15,0h 41m,12h 28m,3/6 00:18:00,6.02,Nikolai
Wade Marrs,11,3/6 09:19:00,15,3/6 13:31:00,15,4h 12m,9h 54m,3/5 23:25:00,7.58,Nikolai
Ray Redington Jr,17,3/6 09:04:00,16,3/6 13:44:00,15,4h 40m,13h 28m,3/5 19:36:00,5.57,Nikolai
Jessie Royer,36,3/6 10:48:00,15,3/6 14:55:00,15,4h 7m,14h 34m,3/5 20:14:00,5.15,Nikolai
Aliy Zirkle,31,3/6 11:00:00,16,3/6 15:06:00,15,4h 6m,14h 25m,3/5 20:35:00,5.20,Nikolai
Linwood Fiedler,8,3/6 09:41:00,15,3/6 15:43:00,15,6h 2m,8h 57m,3/6 00:44:00,8.38,Nikolai
Richie Diehl,29,3/6 11:09:00,16,3/6 16:21:00,15,5h 12m,13h 8m,3/5 22:01:00,5.71,Nikolai
Peter Kaiser,30,3/6 12:26:00,15,3/6 16:23:00,14,3h 57m,12h 10m,3/6 00:16:00,6.16,Nikolai
Hugh Neff,68,3/6 11:31:00,15,3/6 16:30:00,14,4h 59m,9h 39m,3/6 01:52:00,7.77,Nikolai
Mats Pettersson,3,3/6 11:48:00,16,3/6 16:51:00,16,5h 3m,8h 53m,3/6 02:55:00,8.44,Nikolai
Michelle Phillips,18,3/6 11:46:00,15,3/6 17:02:00,15,5h 16m,13h 22m,3/5 22:24:00,5.61,Nikolai
Kelly Maixner,52,3/6 12:58:00,16,3/6 17:08:00,16,4h 10m,11h 22m,3/6 01:36:00,6.60,Nikolai
Robert Redington,34,3/6 12:45:00,13,3/6 17:09:00,13,4h 24m,9h 10m,3/6 03:35:00,8.18,Nikolai
Rick Casillo,9,3/6 12:55:00,14,3/6 17:32:00,14,4h 37m,13h 51m,3/5 23:04:00,5.42,Nikolai
Matt Hall,15,3/6 12:50:00,15,3/6 17:35:00,14,4h 45m,7h 50m,3/6 05:00:00,9.57,Nikolai
Martin Buser,28,3/6 13:00:00,16,3/6 17:40:00,16,4h 40m,6h 45m,3/6 06:15:00,11.11,Nikolai
Ramey Smyth,21,3/6 13:02:00,16,3/6 18:15:00,16,5h 13m,14h 13m,3/5 22:49:00,5.28,Nikolai
Ketil Reitan,54,3/6 13:07:00,15,3/6 18:17:00,14,5h 10m,15h 3m,3/5 22:04:00,4.98,Nikolai
Travis Beals,60,3/6 13:23:00,14,3/6 18:20:00,14,4h 57m,10h 33m,3/6 02:50:00,7.11,Nikolai
Lars Monsen,61,3/6 11:51:00,15,3/6 18:46:00,15,6h 55m,9h 9m,3/6 02:42:00,8.20,Nikolai
Tom Knolmayer,43,3/6 14:12:00,15,3/6 19:27:00,15,5h 15m,7h 37m,3/6 06:35:00,9.85,Nikolai
Michi Konno,63,3/6 14:25:00,15,3/6 19:31:00,14,5h 6m,9h 43m,3/6 04:42:00,7.72,Nikolai
Jessie Holmes,41,3/6 12:39:00,16,3/6 19:36:00,15,6h 57m,13h 10m,3/5 23:29:00,5.70,Nikolai
Cody Strathe,2,3/6 13:53:00,15,3/6 19:40:00,14,5h 47m,12h 13m,3/6 01:40:00,6.14,Nikolai
Jeff King,40,3/6 14:47:00,15,3/6 19:40:00,15,4h 53m,9h 47m,3/6 05:00:00,7.67,Nikolai
Katherine Keith,51,3/6 15:09:00,15,3/6 20:24:00,14,5h 15m,9h 12m,3/6 05:57:00,8.15,Nikolai
Matthew Failor,55,3/6 17:28:00,16,3/6 20:30:00,16,3h 2m,13h 10m,3/6 04:18:00,5.70,Nikolai
Anna Berington,4,3/6 15:45:00,13,3/6 20:46:00,13,5h 1m,12h 50m,3/6 02:55:00,5.84,Nikolai
Larry Daugherty,14,3/6 16:57:00,15,3/6 22:10:00,15,5h 13m,14h 26m,3/6 02:31:00,5.20,Nikolai
Bradley Farquhar,65,3/6 19:46:00,13,3/6 22:35:00,13,2h 49m,14h 36m,3/6 05:10:00,5.14,Nikolai
Kristy Berington,20,3/6 18:17:00,15,3/6 23:26:00,15,5h 9m,14h 17m,3/6 04:00:00,5.25,Nikolai
Andy Pohl,12,3/6 18:22:00,16,3/6 23:32:00,15,5h 10m,14h 17m,3/6 04:05:00,5.25,Nikolai
"Michael Williams, Jr.",27,3/6 17:37:00,15,3/7 01:10:00,14,7h 33m,12h 28m,3/6 05:09:00,6.02,Nikolai
Charley Bejna,38,3/6 19:30:00,16,3/7 02:28:00,15,6h 58m,13h 34m,3/6 05:56:00,5.53,Nikolai
Emily Maxwell,58,3/6 19:34:00,14,3/7 02:57:00,14,7h 23m,12h 30m,3/6 07:04:00,6.00,Nikolai
Allen Moore,26,3/6 20:18:00,14,3/7 03:26:00,14,7h 8m,14h 21m,3/6 05:57:00,5.23,Nikolai
Jim Lanier,32,3/6 20:16:00,16,3/7 03:45:00,15,7h 29m,9h 26m,3/6 10:50:00,7.95,Nikolai
Scott Janssen,23,3/6 17:53:00,15,3/7 04:14:00,15,10h 21m,11h 38m,3/6 06:15:00,6.45,Nikolai
Brett Bruggeman,37,3/6 21:00:00,15,3/7 04:36:00,15,7h 36m,16h 36m,3/6 04:24:00,4.52,Nikolai
Noah Pereira,49,3/6 22:12:00,15,3/7 05:06:00,15,6h 54m,13h 47m,3/6 08:25:00,5.44,Nikolai
Aaron Peck,50,3/6 20:58:00,14,3/7 05:08:00,14,8h 10m,14h 36m,3/6 06:22:00,5.14,Nikolai
Alan Eischens,53,3/6 22:45:00,15,3/7 05:38:00,15,6h 53m,14h 14m,3/6 08:31:00,5.27,Nikolai
Monica Zappa,48,3/7 00:35:00,15,3/7 07:38:00,15,7h 3m,16h 11m,3/6 08:24:00,4.63,Nikolai
Andrew Nolan,56,3/7 01:05:00,14,3/7 08:30:00,13,7h 25m,13h 52m,3/6 11:13:00,5.41,Nikolai
Lev Shvarts,22,3/7 01:43:00,16,3/7 08:59:00,16,7h 16m,14h 23m,3/6 11:20:00,5.21,Nikolai
Shaynee Traska,5,3/7 01:15:00,16,3/7 09:35:00,16,8h 20m,17h 10m,3/6 08:05:00,4.37,Nikolai
Rob Cooke,10,3/7 02:56:00,16,3/7 12:13:00,16,9h 17m,16h 56m,3/6 10:00:00,4.43,Nikolai
Meredith Mapes,16,3/7 05:11:00,14,3/7 12:16:00,14,7h 5m,12h 47m,3/6 16:24:00,5.87,Nikolai
Magnus Kaltenborn,6,3/7 05:03:00,16,3/7 12:45:00,16,7h 42m,17h 3m,3/6 12:00:00,4.40,Nikolai
Dave Delcourt,57,3/7 04:57:00,15,3/7 12:50:00,14,7h 53m,14h 2m,3/6 14:55:00,5.34,Nikolai
Misha Wiljes,19,3/7 06:50:00,14,3/7 13:32:00,14,6h 42m,16h 30m,3/6 14:20:00,4.55,Nikolai
Anja Radano,24,3/7 07:47:00,15,3/7 14:37:00,15,6h 50m,15h 23m,3/6 16:24:00,4.88,Nikolai
Peter Fleck,67,3/7 07:37:00,15,3/7 14:40:00,15,7h 3m,14h 49m,3/6 16:48:00,5.06,Nikolai
Scott White,62,3/7 07:24:00,14,3/7 14:54:00,14,7h 30m,16h 20m,3/6 15:04:00,4.59,Nikolai
Marcelle Fressineau,35,3/7 08:35:00,14,3/7 16:50:00,14,8h 15m,15h 23m,3/6 17:12:00,4.88,Nikolai
Jason Stewart,66,3/7 10:37:00,15,3/7 16:51:00,15,6h 14m,15h 39m,3/6 18:58:00,4.79,Nikolai
Tim Muto,42,3/7 09:20:00,13,3/7 17:12:00,13,7h 52m,16h 44m,3/6 16:36:00,4.48,Nikolai
Tom Schonberger,25,3/7 16:33:00,13,3/7 22:15:00,13,5h 42m,18h 18m,3/6 22:15:00,4.10,Nikolai
Jeff Deeter,45,3/6 22:08:00,16,3/7 22:55:00,15,24h 47m,13h 23m,3/6 08:45:00,5.60,Nikolai
Steve Watkins,59,3/7 16:18:00,16,3/7 22:59:00,14,6h 41m,13h 48m,3/7 02:30:00,5.43,Nikolai
Tara Cicatello,44,3/7 17:12:00,13,3/7 23:12:00,13,6h 0m,17h 31m,3/6 23:41:00,4.28,Nikolai
