musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,speed,NA,NA,checkName
NA,"Satellite View
															Location: 61.9793, -152.0728
										Click here to view map",Ray Redington Jr,17,3/5 06:36:00,16,3/5 06:37:00,16,0h 1m,4h 51m,3/5 01:45:00,8.25,Finger Lake
NA,"Satellite View
															Location: 61.9793, -152.0728
										Click here to view map",Mitch Seavey,13,3/5 06:48:00,15,3/5 06:58:00,15,0h 10m,5h 5m,3/5 01:43:00,7.87,Finger Lake
NA,"Satellite View
															Location: 61.9793, -152.0728
										Click here to view map",Aliy Zirkle,31,3/5 06:53:00,16,3/5 06:58:00,16,0h 5m,4h 53m,3/5 02:00:00,8.19,Finger Lake
NA,"Satellite View
															Location: 61.9793, -152.0728
										Click here to view map",Jessie Royer,36,3/5 07:09:00,16,3/5 07:13:00,16,0h 4m,4h 55m,3/5 02:14:00,8.14,Finger Lake
NA,"Satellite View
															Location: 61.9793, -152.0728
										Click here to view map",Nicolas Petit,46,3/5 03:56:00,16,3/5 07:38:00,16,3h 42m,4h 43m,3/4 23:13:00,8.48,Finger Lake
NA,"Satellite View
															Location: 61.9793, -152.0728
										Click here to view map",Linwood Fiedler,8,3/5 03:43:00,16,3/5 08:03:00,16,4h 20m,4h 58m,3/4 22:45:00,8.05,Finger Lake
NA,"Satellite View
															Location: 61.9793, -152.0728
										Click here to view map",Hugh Neff,68,3/5 07:19:00,16,3/5 08:16:00,15,0h 57m,5h 2m,3/5 02:17:00,7.95,Finger Lake
NA,"Satellite View
															Location: 61.9793, -152.0728
										Click here to view map",Lars Monsen,61,3/5 08:16:00,15,3/5 08:20:00,15,0h 4m,5h 20m,3/5 02:56:00,7.50,Finger Lake
NA,"Satellite View
															Location: 61.9793, -152.0728
										Click here to view map",Ryan Redington,7,3/5 05:37:00,16,3/5 08:24:00,16,2h 47m,4h 37m,3/5 01:00:00,8.66,Finger Lake
NA,"Satellite View
															Location: 61.9793, -152.0728
										Click here to view map",Jessie Holmes,41,3/5 08:27:00,16,3/5 08:33:00,16,0h 6m,4h 34m,3/5 03:53:00,8.76,Finger Lake
NA,"Satellite View
															Location: 61.9793, -152.0728
										Click here to view map",Wade Marrs,11,3/5 05:45:00,16,3/5 08:34:00,15,2h 49m,4h 45m,3/5 01:00:00,8.42,Finger Lake
NA,"Satellite View
															Location: 61.9793, -152.0728
										Click here to view map",Kelly Maixner,52,3/5 08:33:00,16,3/5 08:35:00,16,0h 2m,5h 3m,3/5 03:30:00,7.92,Finger Lake
NA,"Satellite View
															Location: 61.9793, -152.0728
										Click here to view map",Peter Kaiser,30,3/5 08:39:00,16,3/5 08:40:00,16,0h 1m,8h 47m,3/4 23:52:00,4.55,Finger Lake
