musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,speed,NA,checkName
Katherine Keith,51,3/8 10:12:00,14,3/8 13:02:00,14,2h 50m,2h 50m,3/8 07:22:00,8.12,,Ophir
Jessie Holmes,41,3/7 12:37:00,15,3/8 13:31:00,15,24h 54m,2h 40m,3/7 09:57:00,8.63,,Ophir
Tom Knolmayer,43,3/7 12:52:00,15,3/8 13:43:00,13,24h 51m,3h 48m,3/7 09:04:00,6.05,,Ophir
Charley Bejna,38,3/8 14:41:00,14,3/8 14:48:00,14,0h 7m,2h 28m,3/8 12:13:00,9.32,,Ophir
Anna Berington,4,3/7 14:07:00,13,3/8 16:15:00,12,26h 8m,3h 7m,3/7 11:00:00,7.38,,Ophir
"Michael Williams, Jr.",27,3/8 14:13:00,13,3/8 16:41:00,13,2h 28m,2h 28m,3/8 11:45:00,9.32,,Ophir
Jim Lanier,32,3/8 16:04:00,15,3/8 17:24:00,15,1h 20m,2h 25m,3/8 13:39:00,9.52,,Ophir
Emily Maxwell,58,3/8 17:50:00,13,3/8 18:06:00,13,0h 16m,2h 34m,3/8 15:16:00,8.96,,Ophir
Scott Janssen,23,3/8 18:05:00,15,3/8 18:16:00,14,0h 11m,2h 33m,3/8 15:32:00,9.02,,Ophir
Bradley Farquhar,65,3/8 18:29:00,11,3/8 18:32:00,11,0h 3m,2h 48m,3/8 15:41:00,8.21,,Ophir
Kristy Berington,20,3/7 18:03:00,15,3/8 20:45:00,13,26h 42m,2h 58m,3/7 15:05:00,7.75,,Ophir
Andy Pohl,12,3/7 18:39:00,15,3/8 20:45:00,12,26h 6m,3h 27m,3/7 15:12:00,6.67,,Ophir
Noah Pereira,49,3/8 16:51:00,14,3/8 21:00:00,14,4h 9m,2h 37m,3/8 14:14:00,8.79,,Ophir
Aaron Peck,50,3/8 17:41:00,14,3/8 22:05:00,14,4h 24m,2h 32m,3/8 15:09:00,9.08,,Ophir
Jeff Deeter,45,3/8 16:51:00,12,3/8 23:38:00,11,6h 47m,2h 39m,3/8 14:12:00,8.68,,Ophir
Allen Moore,26,3/8 21:35:00,13,3/8 23:53:00,13,2h 18m,2h 45m,3/8 18:50:00,8.36,,Ophir
Brett Bruggeman,37,3/8 20:30:00,15,3/9 00:17:00,15,3h 47m,2h 45m,3/8 17:45:00,8.36,,Ophir
Alan Eischens,53,3/8 19:43:00,14,3/9 00:33:00,14,4h 50m,2h 50m,3/8 16:53:00,8.12,,Ophir
Monica Zappa,48,3/8 00:30:00,15,3/9 01:16:00,15,24h 46m,2h 55m,3/7 21:35:00,7.89,,Ophir
Andrew Nolan,56,3/8 22:44:00,13,3/9 03:05:00,12,4h 21m,3h 4m,3/8 19:40:00,7.50,,Ophir
Shaynee Traska,5,3/9 03:59:00,15,3/9 04:18:00,15,0h 19m,2h 41m,3/9 01:18:00,8.57,,Ophir
Lev Shvarts,22,3/8 23:30:00,16,3/9 04:31:00,15,5h 1m,2h 36m,3/8 20:54:00,8.85,,Ophir
Dave Delcourt,57,3/9 04:56:00,14,3/9 04:57:00,14,0h 1m,2h 45m,3/9 02:11:00,8.36,,Ophir
Meredith Mapes,16,3/9 02:10:00,13,3/9 08:21:00,13,6h 11m,2h 53m,3/8 23:17:00,7.98,,Ophir
Peter Fleck,67,3/9 02:32:00,15,3/9 08:40:00,15,6h 8m,2h 57m,3/8 23:35:00,7.80,,Ophir
Rob Cooke,10,3/9 08:41:00,16,3/9 08:52:00,16,0h 11m,3h 7m,3/9 05:34:00,7.38,,Ophir
Magnus Kaltenborn,6,3/9 03:25:00,16,3/9 09:40:00,16,6h 15m,2h 59m,3/9 00:26:00,7.71,,Ophir
Jason Stewart,66,3/9 05:37:00,15,3/9 10:41:00,15,5h 4m,2h 36m,3/9 03:01:00,8.85,,Ophir
Anja Radano,24,3/9 04:45:00,15,3/9 10:52:00,13,6h 7m,2h 53m,3/9 01:52:00,7.98,,Ophir
Misha Wiljes,19,3/9 05:54:00,14,3/9 11:05:00,14,5h 11m,2h 38m,3/9 03:16:00,8.73,,Ophir
Tim Muto,42,3/9 11:11:00,13,3/9 12:49:00,13,1h 38m,2h 31m,3/9 08:40:00,9.14,,Ophir
Marcelle Fressineau,35,3/9 11:39:00,13,3/9 14:10:00,13,2h 31m,2h 52m,3/9 08:47:00,8.02,,Ophir
Tara Cicatello,44,3/9 15:28:00,13,3/9 21:12:00,13,5h 44m,3h 12m,3/9 12:16:00,7.19,,Ophir
Steve Watkins,59,3/9 17:30:00,13,3/9 21:25:00,13,3h 55m,2h 54m,3/9 14:36:00,7.93,,Ophir
Tom Schonberger,25,3/9 18:32:00,11,3/9 23:30:00,11,4h 58m,3h 52m,3/9 14:40:00,5.95,,Ophir
