musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,speed,NA,checkName
Joar Leifseth Ulsom,33,3/7 04:42:00,16,3/7 04:52:00,16,0h 10m,2h 55m,3/7 01:47:00,7.89,,Ophir
Lars Monsen,61,3/7 13:58:00,15,3/7 14:05:00,15,0h 7m,2h 57m,3/7 11:01:00,7.80,,Ophir
Larry Daugherty,14,3/7 17:50:00,15,3/7 17:57:00,15,0h 7m,4h 2m,3/7 13:48:00,5.70,,Ophir
Jeff King,40,3/7 13:39:00,15,3/7 18:41:00,14,5h 2m,2h 59m,3/7 10:40:00,7.71,,Ophir
Mitch Seavey,13,3/8 02:06:00,13,3/8 02:12:00,13,0h 6m,2h 31m,3/7 23:35:00,9.14,,Ophir
Nicolas Petit,46,3/8 02:06:00,14,3/8 02:13:00,14,0h 7m,2h 35m,3/7 23:31:00,8.90,,Ophir
Aaron Burmeister,64,3/8 03:20:00,15,3/8 03:52:00,15,0h 32m,3h 0m,3/8 00:20:00,7.67,,Ophir
Ray Redington Jr,17,3/8 04:41:00,15,3/8 04:50:00,15,0h 9m,2h 41m,3/8 02:00:00,8.57,,Ophir
Jessie Royer,36,3/8 04:51:00,14,3/8 05:05:00,14,0h 14m,2h 35m,3/8 02:16:00,8.90,,Ophir
Aliy Zirkle,31,3/8 05:38:00,15,3/8 05:47:00,15,0h 9m,2h 38m,3/8 03:00:00,8.73,,Ophir
Linwood Fiedler,8,3/8 05:50:00,15,3/8 06:02:00,15,0h 12m,2h 24m,3/8 03:26:00,9.58,,Ophir
Peter Kaiser,30,3/8 06:00:00,14,3/8 06:05:00,14,0h 5m,2h 17m,3/8 03:43:00,10.07,,Ophir
Richie Diehl,29,3/8 06:04:00,14,3/8 06:06:00,14,0h 2m,2h 24m,3/8 03:40:00,9.58,,Ophir
Wade Marrs,11,3/8 03:53:00,15,3/8 06:41:00,14,2h 48m,2h 37m,3/8 01:16:00,8.79,,Ophir
Kelly Maixner,52,3/8 06:41:00,16,3/8 06:57:00,16,0h 16m,2h 26m,3/8 04:15:00,9.45,,Ophir
Mats Pettersson,3,3/8 07:28:00,16,3/8 07:35:00,15,0h 7m,2h 26m,3/8 05:02:00,9.45,,Ophir
Michelle Phillips,18,3/8 07:33:00,14,3/8 07:38:00,14,0h 5m,2h 22m,3/8 05:11:00,9.72,,Ophir
Michi Konno,63,3/8 07:54:00,14,3/8 08:04:00,14,0h 10m,2h 33m,3/8 05:21:00,9.02,,Ophir
Matt Hall,15,3/8 08:02:00,14,3/8 08:08:00,14,0h 6m,2h 29m,3/8 05:33:00,9.26,,Ophir
Rick Casillo,9,3/8 08:03:00,13,3/8 08:17:00,13,0h 14m,2h 36m,3/8 05:27:00,8.85,,Ophir
Travis Beals,60,3/8 08:15:00,14,3/8 08:20:00,14,0h 5m,2h 19m,3/8 05:56:00,9.93,,Ophir
Matthew Failor,55,3/8 08:24:00,16,3/8 08:28:00,16,0h 4m,2h 20m,3/8 06:04:00,9.86,,Ophir
Ramey Smyth,21,3/8 08:49:00,16,3/8 08:54:00,16,0h 5m,2h 38m,3/8 06:11:00,8.73,,Ophir
Robert Redington,34,3/8 06:30:00,13,3/8 08:57:00,12,2h 27m,2h 33m,3/8 03:57:00,9.02,,Ophir
Ryan Redington,7,3/8 04:48:00,11,3/8 09:05:00,11,4h 17m,2h 48m,3/8 02:00:00,8.21,,Ophir
Hugh Neff,68,3/7 09:44:00,13,3/8 09:44:00,13,24h 0m,3h 25m,3/7 06:19:00,6.73,,Ophir
Cody Strathe,2,3/8 09:39:00,14,3/8 09:44:00,14,0h 5m,2h 11m,3/8 07:28:00,10.53,,Ophir
Ketil Reitan,54,3/7 10:31:00,14,3/8 10:59:00,13,24h 28m,2h 52m,3/7 07:39:00,8.02,,Ophir
Martin Buser,28,3/7 11:32:00,16,3/8 12:52:00,16,25h 20m,2h 54m,3/7 08:38:00,7.93,,Ophir
