musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,prevOut,checkName
Jeff King,40,3/4 19:19:00,16,3/4 20:53:00,16,1h 34m,4h 3m,3/4 15:16:00,10.37,Yentna
Marcelle Fressineau,35,3/4 19:27:00,14,3/4 21:24:00,14,1h 57m,4h 21m,3/4 15:06:00,9.66,Yentna
Lev Shvarts,22,3/4 19:00:00,16,3/4 22:02:00,16,3h 2m,4h 20m,3/4 14:40:00,9.69,Yentna
Matthew Failor,55,3/4 22:01:00,16,3/4 22:05:00,16,0h 4m,6h 15m,3/4 15:46:00,6.72,Yentna
Magnus Kaltenborn,6,3/4 18:23:00,16,3/4 22:12:00,16,3h 49m,4h 15m,3/4 14:08:00,9.88,Yentna
Bradley Farquhar,65,3/4 20:15:00,14,3/4 22:20:00,14,2h 5m,4h 9m,3/4 16:06:00,10.12,Yentna
Alan Eischens,53,3/4 19:36:00,16,3/4 22:32:00,16,2h 56m,3h 54m,3/4 15:42:00,10.77,Yentna
Meredith Mapes,16,3/4 18:37:00,16,3/4 23:07:00,16,4h 30m,4h 9m,3/4 14:28:00,10.12,Yentna
Misha Wiljes,19,3/4 18:38:00,14,3/4 23:18:00,14,4h 40m,4h 4m,3/4 14:34:00,10.33,Yentna
Dave Delcourt,57,3/4 20:08:00,16,3/4 23:20:00,16,3h 12m,4h 18m,3/4 15:50:00,9.77,Yentna
Andrew Nolan,56,3/4 20:11:00,16,3/4 23:31:00,16,3h 20m,4h 23m,3/4 15:48:00,9.58,Yentna
Noah Pereira,49,3/4 19:43:00,16,3/4 23:44:00,16,4h 1m,4h 9m,3/4 15:34:00,10.12,Yentna
Scott White,62,3/4 19:57:00,16,3/4 23:59:00,16,4h 2m,3h 57m,3/4 16:00:00,10.63,Yentna
Anja Radano,24,3/4 19:10:00,16,3/5 00:01:00,16,4h 51m,4h 26m,3/4 14:44:00,9.47,Yentna
Zoya DeNure,47,3/4 19:43:00,15,3/5 00:07:00,15,4h 24m,4h 13m,3/4 15:30:00,9.96,Yentna
Tom Schonberger,25,3/4 20:16:00,16,3/5 00:31:00,16,4h 15m,5h 30m,3/4 14:46:00,7.64,Yentna
Jason Stewart,66,3/4 20:18:00,16,3/5 00:44:00,16,4h 26m,4h 10m,3/4 16:08:00,10.08,Yentna
Peter Fleck,67,3/4 20:47:00,16,3/5 01:00:00,16,4h 13m,4h 37m,3/4 16:10:00,9.10,Yentna
Tara Cicatello,44,3/4 20:29:00,14,3/5 01:30:00,14,5h 1m,5h 5m,3/4 15:24:00,8.26,Yentna
Linwood Fiedler,8,3/4 22:39:00,16,3/4 22:45:00,16,0h 6m,4h 34m,3/4 18:05:00,6.57,Skwentna
Nicolas Petit,46,3/4 22:45:00,16,3/4 23:13:00,16,0h 28m,3h 5m,3/4 19:40:00,9.73,Skwentna
Peter Kaiser,30,3/4 23:43:00,16,3/4 23:52:00,16,0h 9m,4h 51m,3/4 18:52:00,6.19,Skwentna
Cody Strathe,2,3/5 00:22:00,16,3/5 00:25:00,16,0h 3m,6h 28m,3/4 17:54:00,4.64,Skwentna
Ryan Redington,7,3/4 21:59:00,16,3/5 01:00:00,16,3h 1m,2h 53m,3/4 19:06:00,10.40,Skwentna
Wade Marrs,11,3/4 22:15:00,16,3/5 01:00:00,16,2h 45m,3h 4m,3/4 19:11:00,9.78,Skwentna
Richie Diehl,29,3/5 01:02:00,16,3/5 01:07:00,16,0h 5m,6h 10m,3/4 18:52:00,4.86,Skwentna
Anna Berington,4,3/5 01:06:00,16,3/5 01:11:00,16,0h 5m,6h 58m,3/4 18:08:00,4.31,Skwentna
Joar Leifseth Ulsom,33,3/5 01:13:00,16,3/5 01:18:00,16,0h 5m,6h 8m,3/4 19:05:00,4.89,Skwentna
Rick Casillo,9,3/5 01:15:00,16,3/5 01:27:00,16,0h 12m,6h 49m,3/4 18:26:00,4.40,Skwentna
Robert Redington,34,3/5 01:31:00,16,3/5 01:33:00,16,0h 2m,6h 14m,3/4 19:17:00,4.81,Skwentna
Mats Pettersson,3,3/4 21:32:00,16,3/5 01:35:00,16,4h 3m,3h 20m,3/4 18:12:00,9.00,Skwentna
Michelle Phillips,18,3/5 01:24:00,16,3/5 01:35:00,16,0h 11m,6h 45m,3/4 18:39:00,4.44,Skwentna
Alan Eischens,53,3/5 01:32:00,16,3/5 01:42:00,16,0h 10m,3h 0m,3/4 22:32:00,10.00,Skwentna
Mitch Seavey,13,3/4 21:39:00,16,3/5 01:43:00,15,4h 4m,3h 9m,3/4 18:30:00,9.52,Skwentna
Ray Redington Jr,17,3/4 21:31:00,16,3/5 01:45:00,16,4h 14m,3h 2m,3/4 18:29:00,9.89,Skwentna
Kristy Berington,20,3/5 01:45:00,16,3/5 01:49:00,16,0h 4m,7h 3m,3/4 18:42:00,4.26,Skwentna
Aaron Burmeister,64,3/5 01:52:00,16,3/5 01:56:00,16,0h 4m,5h 45m,3/4 20:07:00,5.22,Skwentna
Aliy Zirkle,31,3/4 22:29:00,16,3/5 02:00:00,16,3h 31m,3h 38m,3/4 18:51:00,8.26,Skwentna
Matt Hall,15,3/5 01:54:00,16,3/5 02:02:00,16,0h 8m,7h 4m,3/4 18:50:00,4.25,Skwentna
Charley Bejna,38,3/4 22:25:00,16,3/5 02:09:00,16,3h 44m,3h 11m,3/4 19:14:00,9.42,Skwentna
Andy Pohl,12,3/5 02:03:00,16,3/5 02:10:00,16,0h 7m,7h 32m,3/4 18:31:00,3.98,Skwentna
Jessie Royer,36,3/5 02:03:00,16,3/5 02:14:00,16,0h 11m,6h 53m,3/4 19:10:00,4.36,Skwentna
Tom Knolmayer,43,3/5 02:05:00,16,3/5 02:14:00,16,0h 9m,6h 48m,3/4 19:17:00,4.41,Skwentna
Hugh Neff,68,3/4 23:29:00,16,3/5 02:17:00,16,2h 48m,3h 14m,3/4 20:15:00,9.28,Skwentna
Meredith Mapes,16,3/5 02:15:00,16,3/5 02:19:00,16,0h 4m,3h 8m,3/4 23:07:00,9.57,Skwentna
Larry Daugherty,14,3/5 02:31:00,15,3/5 02:40:00,15,0h 9m,7h 51m,3/4 18:40:00,3.82,Skwentna
Jeff Deeter,45,3/5 02:45:00,16,3/5 02:53:00,16,0h 8m,7h 0m,3/4 19:45:00,4.29,Skwentna
