musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,speed,checkName,inTime,outTime,prevTime,enrouteTime,restTime,dropDogs,rest24,cpOrder,finalOrder
Charley Bejna,38,3/4 19:11:00,16,3/4 19:14:00,16,0h 3m,3h 59m,3/4 15:12:00,10.54,Yentna,2018-03-04T19:11:00Z,2018-03-04T19:14:00Z,2018-03-04T15:12:00Z,239,3,0,0,34,35
Tom Knolmayer,43,3/4 19:12:00,16,3/4 19:17:00,16,0h 5m,3h 50m,3/4 15:22:00,10.96,Yentna,2018-03-04T19:12:00Z,2018-03-04T19:17:00Z,2018-03-04T15:22:00Z,230,5,0,0,35,32
Robert Redington,34,3/4 19:16:00,16,3/4 19:17:00,16,0h 1m,4h 12m,3/4 15:04:00,10,Yentna,2018-03-04T19:16:00Z,2018-03-04T19:17:00Z,2018-03-04T15:04:00Z,252,1,0,0,36,NA
Brett Bruggeman,37,3/4 19:19:00,16,3/4 19:29:00,16,0h 10m,4h 9m,3/4 15:10:00,10.12,Yentna,2018-03-04T19:19:00Z,2018-03-04T19:29:00Z,2018-03-04T15:10:00Z,249,10,0,0,38,39
DeeDee Jonrowe,39,3/4 19:24:00,16,3/4 19:34:00,16,0h 10m,4h 10m,3/4 15:14:00,10.08,Yentna,2018-03-04T19:24:00Z,2018-03-04T19:34:00Z,2018-03-04T15:14:00Z,250,10,0,0,40,NA
Nicolas Petit,46,3/4 19:17:00,16,3/4 19:40:00,16,0h 23m,3h 49m,3/4 15:28:00,11,Yentna,2018-03-04T19:17:00Z,2018-03-04T19:40:00Z,2018-03-04T15:28:00Z,229,23,0,0,37,2
Lars Monsen,61,3/4 19:43:00,16,3/4 19:45:00,16,0h 2m,3h 45m,3/4 15:58:00,11.2,Yentna,2018-03-04T19:43:00Z,2018-03-04T19:45:00Z,2018-03-04T15:58:00Z,225,2,0,0,44,20
Jeff Deeter,45,3/4 19:43:00,16,3/4 19:45:00,16,0h 2m,4h 17m,3/4 15:26:00,9.81,Yentna,2018-03-04T19:43:00Z,2018-03-04T19:45:00Z,2018-03-04T15:26:00Z,257,2,0,0,45,43
Monica Zappa,48,3/4 19:41:00,16,3/4 19:48:00,16,0h 7m,4h 9m,3/4 15:32:00,10.12,Yentna,2018-03-04T19:41:00Z,2018-03-04T19:48:00Z,2018-03-04T15:32:00Z,249,7,0,0,43,38
Jessie Holmes,41,3/4 19:09:00,16,3/4 19:53:00,16,0h 44m,3h 51m,3/4 15:18:00,10.91,Yentna,2018-03-04T19:09:00Z,2018-03-04T19:53:00Z,2018-03-04T15:18:00Z,231,44,0,0,32,7
