musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,speed,checkName,inTime,outTime,prevTime,enrouteTime,restTime,dropDogs,rest24,cpOrder,finalOrder
Marcelle Fressineau,35,3/6 12:06:00,14,3/6 17:12:00,14,5h 6m,5h 25m,3/6 06:41:00,6.46,Rohn,2018-03-06T12:06:00Z,2018-03-06T17:12:00Z,2018-03-06T06:41:00Z,325,306,0,0,62,NA
Jason Stewart,66,3/6 10:09:00,16,3/6 18:58:00,15,8h 49m,4h 33m,3/6 05:36:00,7.69,Rohn,2018-03-06T10:09:00Z,2018-03-06T18:58:00Z,2018-03-06T05:36:00Z,273,529,1,0,58,50
Tom Schonberger,25,3/6 14:53:00,16,3/6 22:15:00,13,7h 22m,6h 13m,3/6 08:40:00,5.63,Rohn,2018-03-06T14:53:00Z,2018-03-06T22:15:00Z,2018-03-06T08:40:00Z,373,442,3,0,63,NA
Tara Cicatello,44,3/6 17:06:00,13,3/6 23:41:00,13,6h 35m,6h 2m,3/6 11:04:00,5.8,Rohn,2018-03-06T17:06:00Z,2018-03-06T23:41:00Z,2018-03-06T11:04:00Z,362,395,0,0,65,NA
Steve Watkins,59,3/6 16:34:00,16,3/7 02:30:00,16,9h 56m,10h 54m,3/6 05:40:00,3.21,Rohn,2018-03-06T16:34:00Z,2018-03-07T02:30:00Z,2018-03-06T05:40:00Z,654,596,0,0,64,NA
Mitch Seavey,13,3/6 08:27:00,14,3/6 12:49:00,13,4h 22m,13h 0m,3/5 19:27:00,5.77,Nikolai,2018-03-06T08:27:00Z,2018-03-06T12:49:00Z,2018-03-05T19:27:00Z,780,262,1,0,3,3
Joar Leifseth Ulsom,33,3/6 08:56:00,16,3/6 13:06:00,16,4h 10m,13h 14m,3/5 19:42:00,5.67,Nikolai,2018-03-06T08:56:00Z,2018-03-06T13:06:00Z,2018-03-05T19:42:00Z,794,250,0,0,4,1
Ryan Redington,7,3/6 08:06:00,13,3/6 13:13:00,12,5h 7m,12h 58m,3/5 19:08:00,5.78,Nikolai,2018-03-06T08:06:00Z,2018-03-06T13:13:00Z,2018-03-05T19:08:00Z,778,307,1,0,1,NA
Nicolas Petit,46,3/6 08:25:00,16,3/6 13:21:00,15,4h 56m,8h 56m,3/5 23:29:00,8.4,Nikolai,2018-03-06T08:25:00Z,2018-03-06T13:21:00Z,2018-03-05T23:29:00Z,536,296,1,0,2,2
Aaron Burmeister,64,3/6 12:46:00,15,3/6 13:27:00,15,0h 41m,12h 28m,3/6 00:18:00,6.02,Nikolai,2018-03-06T12:46:00Z,2018-03-06T13:27:00Z,2018-03-06T00:18:00Z,748,41,0,0,18,12
Wade Marrs,11,3/6 09:19:00,15,3/6 13:31:00,15,4h 12m,9h 54m,3/5 23:25:00,7.58,Nikolai,2018-03-06T09:19:00Z,2018-03-06T13:31:00Z,2018-03-05T23:25:00Z,594,252,0,0,6,NA
Ray Redington Jr,17,3/6 09:04:00,16,3/6 13:44:00,15,4h 40m,13h 28m,3/5 19:36:00,5.57,Nikolai,2018-03-06T09:04:00Z,2018-03-06T13:44:00Z,2018-03-05T19:36:00Z,808,280,1,0,5,4
Jessie Royer,36,3/6 10:48:00,15,3/6 14:55:00,15,4h 7m,14h 34m,3/5 20:14:00,5.15,Nikolai,2018-03-06T10:48:00Z,2018-03-06T14:55:00Z,2018-03-05T20:14:00Z,874,247,0,0,8,16
Aliy Zirkle,31,3/6 11:00:00,16,3/6 15:06:00,15,4h 6m,14h 25m,3/5 20:35:00,5.2,Nikolai,2018-03-06T11:00:00Z,2018-03-06T15:06:00Z,2018-03-05T20:35:00Z,865,246,1,0,9,15
Linwood Fiedler,8,3/6 09:41:00,15,3/6 15:43:00,15,6h 2m,8h 57m,3/6 00:44:00,8.38,Nikolai,2018-03-06T09:41:00Z,2018-03-06T15:43:00Z,2018-03-06T00:44:00Z,537,362,0,0,7,10
Richie Diehl,29,3/6 11:09:00,16,3/6 16:21:00,15,5h 12m,13h 8m,3/5 22:01:00,5.71,Nikolai,2018-03-06T11:09:00Z,2018-03-06T16:21:00Z,2018-03-05T22:01:00Z,788,312,1,0,10,6
Peter Kaiser,30,3/6 12:26:00,15,3/6 16:23:00,14,3h 57m,12h 10m,3/6 00:16:00,6.16,Nikolai,2018-03-06T12:26:00Z,2018-03-06T16:23:00Z,2018-03-06T00:16:00Z,730,237,1,0,15,5
Hugh Neff,68,3/6 11:31:00,15,3/6 16:30:00,14,4h 59m,9h 39m,3/6 01:52:00,7.77,Nikolai,2018-03-06T11:31:00Z,2018-03-06T16:30:00Z,2018-03-06T01:52:00Z,579,299,1,0,11,21
Mats Pettersson,3,3/6 11:48:00,16,3/6 16:51:00,16,5h 3m,8h 53m,3/6 02:55:00,8.44,Nikolai,2018-03-06T11:48:00Z,2018-03-06T16:51:00Z,2018-03-06T02:55:00Z,533,303,0,0,13,18
Michelle Phillips,18,3/6 11:46:00,15,3/6 17:02:00,15,5h 16m,13h 22m,3/5 22:24:00,5.61,Nikolai,2018-03-06T11:46:00Z,2018-03-06T17:02:00Z,2018-03-05T22:24:00Z,802,316,0,0,12,19
Kelly Maixner,52,3/6 12:58:00,16,3/6 17:08:00,16,4h 10m,11h 22m,3/6 01:36:00,6.6,Nikolai,2018-03-06T12:58:00Z,2018-03-06T17:08:00Z,2018-03-06T01:36:00Z,682,250,0,0,21,17
Robert Redington,34,3/6 12:45:00,13,3/6 17:09:00,13,4h 24m,9h 10m,3/6 03:35:00,8.18,Nikolai,2018-03-06T12:45:00Z,2018-03-06T17:09:00Z,2018-03-06T03:35:00Z,550,264,0,0,17,NA
Rick Casillo,9,3/6 12:55:00,14,3/6 17:32:00,14,4h 37m,13h 51m,3/5 23:04:00,5.42,Nikolai,2018-03-06T12:55:00Z,2018-03-06T17:32:00Z,2018-03-05T23:04:00Z,831,277,0,0,20,27
Matt Hall,15,3/6 12:50:00,15,3/6 17:35:00,14,4h 45m,7h 50m,3/6 05:00:00,9.57,Nikolai,2018-03-06T12:50:00Z,2018-03-06T17:35:00Z,2018-03-06T05:00:00Z,470,285,1,0,19,11
Martin Buser,28,3/6 13:00:00,16,3/6 17:40:00,16,4h 40m,6h 45m,3/6 06:15:00,11.11,Nikolai,2018-03-06T13:00:00Z,2018-03-06T17:40:00Z,2018-03-06T06:15:00Z,405,280,0,0,22,28
Ramey Smyth,21,3/6 13:02:00,16,3/6 18:15:00,16,5h 13m,14h 13m,3/5 22:49:00,5.28,Nikolai,2018-03-06T13:02:00Z,2018-03-06T18:15:00Z,2018-03-05T22:49:00Z,853,313,0,0,23,8
Ketil Reitan,54,3/6 13:07:00,15,3/6 18:17:00,14,5h 10m,15h 3m,3/5 22:04:00,4.98,Nikolai,2018-03-06T13:07:00Z,2018-03-06T18:17:00Z,2018-03-05T22:04:00Z,903,310,1,0,24,14
Travis Beals,60,3/6 13:23:00,14,3/6 18:20:00,14,4h 57m,10h 33m,3/6 02:50:00,7.11,Nikolai,2018-03-06T13:23:00Z,2018-03-06T18:20:00Z,2018-03-06T02:50:00Z,633,297,0,0,25,9
Lars Monsen,61,3/6 11:51:00,15,3/6 18:46:00,15,6h 55m,9h 9m,3/6 02:42:00,8.2,Nikolai,2018-03-06T11:51:00Z,2018-03-06T18:46:00Z,2018-03-06T02:42:00Z,549,415,0,0,14,20
Tom Knolmayer,43,3/6 14:12:00,15,3/6 19:27:00,15,5h 15m,7h 37m,3/6 06:35:00,9.85,Nikolai,2018-03-06T14:12:00Z,2018-03-06T19:27:00Z,2018-03-06T06:35:00Z,457,315,0,0,27,32
Michi Konno,63,3/6 14:25:00,15,3/6 19:31:00,14,5h 6m,9h 43m,3/6 04:42:00,7.72,Nikolai,2018-03-06T14:25:00Z,2018-03-06T19:31:00Z,2018-03-06T04:42:00Z,583,306,1,0,28,23
Jessie Holmes,41,3/6 12:39:00,16,3/6 19:36:00,15,6h 57m,13h 10m,3/5 23:29:00,5.7,Nikolai,2018-03-06T12:39:00Z,2018-03-06T19:36:00Z,2018-03-05T23:29:00Z,790,417,1,0,16,7
Cody Strathe,2,3/6 13:53:00,15,3/6 19:40:00,14,5h 47m,12h 13m,3/6 01:40:00,6.14,Nikolai,2018-03-06T13:53:00Z,2018-03-06T19:40:00Z,2018-03-06T01:40:00Z,733,347,1,0,26,29
Jeff King,40,3/6 14:47:00,15,3/6 19:40:00,15,4h 53m,9h 47m,3/6 05:00:00,7.67,Nikolai,2018-03-06T14:47:00Z,2018-03-06T19:40:00Z,2018-03-06T05:00:00Z,587,293,0,0,29,24
Katherine Keith,51,3/6 15:09:00,15,3/6 20:24:00,14,5h 15m,9h 12m,3/6 05:57:00,8.15,Nikolai,2018-03-06T15:09:00Z,2018-03-06T20:24:00Z,2018-03-06T05:57:00Z,552,315,1,0,30,26
Matthew Failor,55,3/6 17:28:00,16,3/6 20:30:00,16,3h 2m,13h 10m,3/6 04:18:00,5.7,Nikolai,2018-03-06T17:28:00Z,2018-03-06T20:30:00Z,2018-03-06T04:18:00Z,790,182,0,0,33,13
Anna Berington,4,3/6 15:45:00,13,3/6 20:46:00,13,5h 1m,12h 50m,3/6 02:55:00,5.84,Nikolai,2018-03-06T15:45:00Z,2018-03-06T20:46:00Z,2018-03-06T02:55:00Z,770,301,0,0,31,22
Larry Daugherty,14,3/6 16:57:00,15,3/6 22:10:00,15,5h 13m,14h 26m,3/6 02:31:00,5.2,Nikolai,2018-03-06T16:57:00Z,2018-03-06T22:10:00Z,2018-03-06T02:31:00Z,866,313,0,0,32,40
Bradley Farquhar,65,3/6 19:46:00,13,3/6 22:35:00,13,2h 49m,14h 36m,3/6 05:10:00,5.14,Nikolai,2018-03-06T19:46:00Z,2018-03-06T22:35:00Z,2018-03-06T05:10:00Z,876,169,0,0,40,44
Kristy Berington,20,3/6 18:17:00,15,3/6 23:26:00,15,5h 9m,14h 17m,3/6 04:00:00,5.25,Nikolai,2018-03-06T18:17:00Z,2018-03-06T23:26:00Z,2018-03-06T04:00:00Z,857,309,0,0,36,36
Andy Pohl,12,3/6 18:22:00,16,3/6 23:32:00,15,5h 10m,14h 17m,3/6 04:05:00,5.25,Nikolai,2018-03-06T18:22:00Z,2018-03-06T23:32:00Z,2018-03-06T04:05:00Z,857,310,1,0,37,37
"Michael Williams, Jr.",27,3/6 17:37:00,15,3/7 01:10:00,14,7h 33m,12h 28m,3/6 05:09:00,6.02,Nikolai,2018-03-06T17:37:00Z,2018-03-07T01:10:00Z,2018-03-06T05:09:00Z,748,453,1,0,34,25
Charley Bejna,38,3/6 19:30:00,16,3/7 02:28:00,15,6h 58m,13h 34m,3/6 05:56:00,5.53,Nikolai,2018-03-06T19:30:00Z,2018-03-07T02:28:00Z,2018-03-06T05:56:00Z,814,418,1,0,38,35
Emily Maxwell,58,3/6 19:34:00,14,3/7 02:57:00,14,7h 23m,12h 30m,3/6 07:04:00,6,Nikolai,2018-03-06T19:34:00Z,2018-03-07T02:57:00Z,2018-03-06T07:04:00Z,750,443,0,0,39,33
Allen Moore,26,3/6 20:18:00,14,3/7 03:26:00,14,7h 8m,14h 21m,3/6 05:57:00,5.23,Nikolai,2018-03-06T20:18:00Z,2018-03-07T03:26:00Z,2018-03-06T05:57:00Z,861,428,0,0,42,NA
Jim Lanier,32,3/6 20:16:00,16,3/7 03:45:00,15,7h 29m,9h 26m,3/6 10:50:00,7.95,Nikolai,2018-03-06T20:16:00Z,2018-03-07T03:45:00Z,2018-03-06T10:50:00Z,566,449,1,0,41,NA
Scott Janssen,23,3/6 17:53:00,15,3/7 04:14:00,15,10h 21m,11h 38m,3/6 06:15:00,6.45,Nikolai,2018-03-06T17:53:00Z,2018-03-07T04:14:00Z,2018-03-06T06:15:00Z,698,621,0,0,35,NA
Brett Bruggeman,37,3/6 21:00:00,15,3/7 04:36:00,15,7h 36m,16h 36m,3/6 04:24:00,4.52,Nikolai,2018-03-06T21:00:00Z,2018-03-07T04:36:00Z,2018-03-06T04:24:00Z,996,456,0,0,44,39
Noah Pereira,49,3/6 22:12:00,15,3/7 05:06:00,15,6h 54m,13h 47m,3/6 08:25:00,5.44,Nikolai,2018-03-06T22:12:00Z,2018-03-07T05:06:00Z,2018-03-06T08:25:00Z,827,414,0,0,46,31
Aaron Peck,50,3/6 20:58:00,14,3/7 05:08:00,14,8h 10m,14h 36m,3/6 06:22:00,5.14,Nikolai,2018-03-06T20:58:00Z,2018-03-07T05:08:00Z,2018-03-06T06:22:00Z,876,490,0,0,43,34
Alan Eischens,53,3/6 22:45:00,15,3/7 05:38:00,15,6h 53m,14h 14m,3/6 08:31:00,5.27,Nikolai,2018-03-06T22:45:00Z,2018-03-07T05:38:00Z,2018-03-06T08:31:00Z,854,413,0,0,47,NA
Monica Zappa,48,3/7 00:35:00,15,3/7 07:38:00,15,7h 3m,16h 11m,3/6 08:24:00,4.63,Nikolai,2018-03-07T00:35:00Z,2018-03-07T07:38:00Z,2018-03-06T08:24:00Z,971,423,0,0,48,38
Andrew Nolan,56,3/7 01:05:00,14,3/7 08:30:00,13,7h 25m,13h 52m,3/6 11:13:00,5.41,Nikolai,2018-03-07T01:05:00Z,2018-03-07T08:30:00Z,2018-03-06T11:13:00Z,832,445,1,0,49,30
Lev Shvarts,22,3/7 01:43:00,16,3/7 08:59:00,16,7h 16m,14h 23m,3/6 11:20:00,5.21,Nikolai,2018-03-07T01:43:00Z,2018-03-07T08:59:00Z,2018-03-06T11:20:00Z,863,436,0,0,51,41
Shaynee Traska,5,3/7 01:15:00,16,3/7 09:35:00,16,8h 20m,17h 10m,3/6 08:05:00,4.37,Nikolai,2018-03-07T01:15:00Z,2018-03-07T09:35:00Z,2018-03-06T08:05:00Z,1030,500,0,0,50,48
Rob Cooke,10,3/7 02:56:00,16,3/7 12:13:00,16,9h 17m,16h 56m,3/6 10:00:00,4.43,Nikolai,2018-03-07T02:56:00Z,2018-03-07T12:13:00Z,2018-03-06T10:00:00Z,1016,557,0,0,52,NA
Meredith Mapes,16,3/7 05:11:00,14,3/7 12:16:00,14,7h 5m,12h 47m,3/6 16:24:00,5.87,Nikolai,2018-03-07T05:11:00Z,2018-03-07T12:16:00Z,2018-03-06T16:24:00Z,767,425,0,0,55,49
Magnus Kaltenborn,6,3/7 05:03:00,16,3/7 12:45:00,16,7h 42m,17h 3m,3/6 12:00:00,4.4,Nikolai,2018-03-07T05:03:00Z,2018-03-07T12:45:00Z,2018-03-06T12:00:00Z,1023,462,0,0,54,52
Dave Delcourt,57,3/7 04:57:00,15,3/7 12:50:00,14,7h 53m,14h 2m,3/6 14:55:00,5.34,Nikolai,2018-03-07T04:57:00Z,2018-03-07T12:50:00Z,2018-03-06T14:55:00Z,842,473,1,0,53,47
Misha Wiljes,19,3/7 06:50:00,14,3/7 13:32:00,14,6h 42m,16h 30m,3/6 14:20:00,4.55,Nikolai,2018-03-07T06:50:00Z,2018-03-07T13:32:00Z,2018-03-06T14:20:00Z,990,402,0,0,56,45
Anja Radano,24,3/7 07:47:00,15,3/7 14:37:00,15,6h 50m,15h 23m,3/6 16:24:00,4.88,Nikolai,2018-03-07T07:47:00Z,2018-03-07T14:37:00Z,2018-03-06T16:24:00Z,923,410,0,0,59,51
Peter Fleck,67,3/7 07:37:00,15,3/7 14:40:00,15,7h 3m,14h 49m,3/6 16:48:00,5.06,Nikolai,2018-03-07T07:37:00Z,2018-03-07T14:40:00Z,2018-03-06T16:48:00Z,889,423,0,0,58,42
Scott White,62,3/7 07:24:00,14,3/7 14:54:00,14,7h 30m,16h 20m,3/6 15:04:00,4.59,Nikolai,2018-03-07T07:24:00Z,2018-03-07T14:54:00Z,2018-03-06T15:04:00Z,980,450,0,0,57,NA
Marcelle Fressineau,35,3/7 08:35:00,14,3/7 16:50:00,14,8h 15m,15h 23m,3/6 17:12:00,4.88,Nikolai,2018-03-07T08:35:00Z,2018-03-07T16:50:00Z,2018-03-06T17:12:00Z,923,495,0,0,60,NA
Jason Stewart,66,3/7 10:37:00,15,3/7 16:51:00,15,6h 14m,15h 39m,3/6 18:58:00,4.79,Nikolai,2018-03-07T10:37:00Z,2018-03-07T16:51:00Z,2018-03-06T18:58:00Z,939,374,0,0,62,50
Tim Muto,42,3/7 09:20:00,13,3/7 17:12:00,13,7h 52m,16h 44m,3/6 16:36:00,4.48,Nikolai,2018-03-07T09:20:00Z,2018-03-07T17:12:00Z,2018-03-06T16:36:00Z,1004,472,0,0,61,46
Tom Schonberger,25,3/7 16:33:00,13,3/7 22:15:00,13,5h 42m,18h 18m,3/6 22:15:00,4.1,Nikolai,2018-03-07T16:33:00Z,2018-03-07T22:15:00Z,2018-03-06T22:15:00Z,1098,342,0,0,64,NA
Jeff Deeter,45,3/6 22:08:00,16,3/7 22:55:00,15,24h 47m,13h 23m,3/6 08:45:00,5.6,Nikolai,2018-03-06T22:08:00Z,2018-03-07T22:55:00Z,2018-03-06T08:45:00Z,803,1487,1,1,45,43
Steve Watkins,59,3/7 16:18:00,16,3/7 22:59:00,14,6h 41m,13h 48m,3/7 02:30:00,5.43,Nikolai,2018-03-07T16:18:00Z,2018-03-07T22:59:00Z,2018-03-07T02:30:00Z,828,401,2,0,63,NA
Tara Cicatello,44,3/7 17:12:00,13,3/7 23:12:00,13,6h 0m,17h 31m,3/6 23:41:00,4.28,Nikolai,2018-03-07T17:12:00Z,2018-03-07T23:12:00Z,2018-03-06T23:41:00Z,1051,360,0,0,65,NA
Mitch Seavey,13,3/6 19:18:00,13,3/6 19:22:00,13,0h 4m,6h 29m,3/6 12:49:00,7.4,McGrath,2018-03-06T19:18:00Z,2018-03-06T19:22:00Z,2018-03-06T12:49:00Z,389,4,0,0,1,3
Ray Redington Jr,17,3/6 21:21:00,15,3/6 21:25:00,15,0h 4m,7h 37m,3/6 13:44:00,6.3,McGrath,2018-03-06T21:21:00Z,2018-03-06T21:25:00Z,2018-03-06T13:44:00Z,457,4,0,0,6,4
Jessie Royer,36,3/6 22:27:00,15,3/6 22:30:00,14,0h 3m,7h 32m,3/6 14:55:00,6.37,McGrath,2018-03-06T22:27:00Z,2018-03-06T22:30:00Z,2018-03-06T14:55:00Z,452,3,1,0,8,16
Linwood Fiedler,8,3/6 22:46:00,15,3/6 22:48:00,15,0h 2m,7h 3m,3/6 15:43:00,6.81,McGrath,2018-03-06T22:46:00Z,2018-03-06T22:48:00Z,2018-03-06T15:43:00Z,423,2,0,0,9,10
Aliy Zirkle,31,3/6 22:51:00,15,3/6 22:53:00,15,0h 2m,7h 45m,3/6 15:06:00,6.19,McGrath,2018-03-06T22:51:00Z,2018-03-06T22:53:00Z,2018-03-06T15:06:00Z,465,2,0,0,10,15
Joar Leifseth Ulsom,33,3/6 19:59:00,16,3/6 23:06:00,16,3h 7m,6h 53m,3/6 13:06:00,6.97,McGrath,2018-03-06T19:59:00Z,2018-03-06T23:06:00Z,2018-03-06T13:06:00Z,413,187,0,0,2,1
Peter Kaiser,30,3/6 23:42:00,14,3/6 23:46:00,14,0h 4m,7h 19m,3/6 16:23:00,6.56,McGrath,2018-03-06T23:42:00Z,2018-03-06T23:46:00Z,2018-03-06T16:23:00Z,439,4,0,0,11,5
Richie Diehl,29,3/6 23:44:00,15,3/6 23:46:00,15,0h 2m,7h 23m,3/6 16:21:00,6.5,McGrath,2018-03-06T23:44:00Z,2018-03-06T23:46:00Z,2018-03-06T16:21:00Z,443,2,0,0,12,6
Mats Pettersson,3,3/6 23:46:00,16,3/7 00:22:00,16,0h 36m,6h 55m,3/6 16:51:00,6.94,McGrath,2018-03-06T23:46:00Z,2018-03-07T00:22:00Z,2018-03-06T16:51:00Z,415,36,0,0,13,18
Kelly Maixner,52,3/7 00:40:00,16,3/7 00:50:00,16,0h 10m,7h 32m,3/6 17:08:00,6.37,McGrath,2018-03-07T00:40:00Z,2018-03-07T00:50:00Z,2018-03-06T17:08:00Z,452,10,0,0,17,17
Michelle Phillips,18,3/7 00:35:00,15,3/7 01:00:00,15,0h 25m,7h 33m,3/6 17:02:00,6.36,McGrath,2018-03-07T00:35:00Z,2018-03-07T01:00:00Z,2018-03-06T17:02:00Z,453,25,0,0,16,19
Matt Hall,15,3/7 01:04:00,14,3/7 01:05:00,14,0h 1m,7h 29m,3/6 17:35:00,6.41,McGrath,2018-03-07T01:04:00Z,2018-03-07T01:05:00Z,2018-03-06T17:35:00Z,449,1,0,0,19,11
Lars Monsen,61,3/7 01:32:00,15,3/7 01:33:00,15,0h 1m,6h 46m,3/6 18:46:00,7.09,McGrath,2018-03-07T01:32:00Z,2018-03-07T01:33:00Z,2018-03-06T18:46:00Z,406,1,0,0,23,20
Ramey Smyth,21,3/7 01:53:00,16,3/7 01:54:00,16,0h 1m,7h 38m,3/6 18:15:00,6.29,McGrath,2018-03-07T01:53:00Z,2018-03-07T01:54:00Z,2018-03-06T18:15:00Z,458,1,0,0,24,8
Michi Konno,63,3/7 02:39:00,14,3/7 02:51:00,14,0h 12m,7h 8m,3/6 19:31:00,6.73,McGrath,2018-03-07T02:39:00Z,2018-03-07T02:51:00Z,2018-03-06T19:31:00Z,428,12,0,0,28,23
Cody Strathe,2,3/7 02:40:00,14,3/7 02:51:00,14,0h 11m,7h 0m,3/6 19:40:00,6.86,McGrath,2018-03-07T02:40:00Z,2018-03-07T02:51:00Z,2018-03-06T19:40:00Z,420,11,0,0,29,29
Jessie Holmes,41,3/7 02:21:00,15,3/7 02:53:00,15,0h 32m,6h 45m,3/6 19:36:00,7.11,McGrath,2018-03-07T02:21:00Z,2018-03-07T02:53:00Z,2018-03-06T19:36:00Z,405,32,0,0,25,7
Travis Beals,60,3/7 01:13:00,14,3/7 03:16:00,14,2h 3m,6h 53m,3/6 18:20:00,6.97,McGrath,2018-03-07T01:13:00Z,2018-03-07T03:16:00Z,2018-03-06T18:20:00Z,413,123,0,0,21,9
Matthew Failor,55,3/7 03:02:00,16,3/7 03:20:00,16,0h 18m,6h 32m,3/6 20:30:00,7.35,McGrath,2018-03-07T03:02:00Z,2018-03-07T03:20:00Z,2018-03-06T20:30:00Z,392,18,0,0,30,13
Hugh Neff,68,3/7 00:03:00,14,3/7 03:29:00,14,3h 26m,7h 33m,3/6 16:30:00,6.36,McGrath,2018-03-07T00:03:00Z,2018-03-07T03:29:00Z,2018-03-06T16:30:00Z,453,206,0,0,14,21
Ketil Reitan,54,3/7 01:20:00,14,3/7 05:18:00,14,3h 58m,7h 3m,3/6 18:17:00,6.81,McGrath,2018-03-07T01:20:00Z,2018-03-07T05:18:00Z,2018-03-06T18:17:00Z,423,238,0,0,22,14
Larry Daugherty,14,3/7 05:52:00,15,3/7 05:53:00,15,0h 1m,7h 42m,3/6 22:10:00,6.23,McGrath,2018-03-07T05:52:00Z,2018-03-07T05:53:00Z,2018-03-06T22:10:00Z,462,1,0,0,33,40
Martin Buser,28,3/7 01:00:00,16,3/7 06:08:00,16,5h 8m,7h 20m,3/6 17:40:00,6.55,McGrath,2018-03-07T01:00:00Z,2018-03-07T06:08:00Z,2018-03-06T17:40:00Z,440,308,0,0,18,28
Tom Knolmayer,43,3/7 02:25:00,15,3/7 06:32:00,15,4h 7m,6h 58m,3/6 19:27:00,6.89,McGrath,2018-03-07T02:25:00Z,2018-03-07T06:32:00Z,2018-03-06T19:27:00Z,418,247,0,0,26,32
"Michael Williams, Jr.",27,3/7 06:45:00,14,3/7 06:53:00,13,0h 8m,5h 35m,3/7 01:10:00,8.6,McGrath,2018-03-07T06:45:00Z,2018-03-07T06:53:00Z,2018-03-07T01:10:00Z,335,8,1,0,36,25
Jeff King,40,3/7 02:30:00,15,3/7 08:05:00,15,5h 35m,6h 50m,3/6 19:40:00,7.02,McGrath,2018-03-07T02:30:00Z,2018-03-07T08:05:00Z,2018-03-06T19:40:00Z,410,335,0,0,27,24
Anna Berington,4,3/7 03:40:00,13,3/7 08:30:00,13,4h 50m,6h 54m,3/6 20:46:00,6.96,McGrath,2018-03-07T03:40:00Z,2018-03-07T08:30:00Z,2018-03-06T20:46:00Z,414,290,0,0,31,22
Charley Bejna,38,3/7 08:43:00,15,3/7 08:45:00,15,0h 2m,6h 15m,3/7 02:28:00,7.68,McGrath,2018-03-07T08:43:00Z,2018-03-07T08:45:00Z,2018-03-07T02:28:00Z,375,2,0,0,38,35
Jim Lanier,32,3/7 09:45:00,15,3/7 09:45:00,15,0h 0m,6h 0m,3/7 03:45:00,8,McGrath,2018-03-07T09:45:00Z,2018-03-07T09:45:00Z,2018-03-07T03:45:00Z,360,0,0,0,39,NA
Scott Janssen,23,3/7 10:41:00,15,3/7 10:42:00,15,0h 1m,6h 27m,3/7 04:14:00,7.44,McGrath,2018-03-07T10:41:00Z,2018-03-07T10:42:00Z,2018-03-07T04:14:00Z,387,1,0,0,42,NA
Brett Bruggeman,37,3/7 11:06:00,15,3/7 11:08:00,15,0h 2m,6h 30m,3/7 04:36:00,7.38,McGrath,2018-03-07T11:06:00Z,2018-03-07T11:08:00Z,2018-03-07T04:36:00Z,390,2,0,0,43,39
Emily Maxwell,58,3/7 10:26:00,14,3/7 11:44:00,13,1h 18m,7h 29m,3/7 02:57:00,6.41,McGrath,2018-03-07T10:26:00Z,2018-03-07T11:44:00Z,2018-03-07T02:57:00Z,449,78,1,0,41,33
Kristy Berington,20,3/7 06:19:00,15,3/7 12:18:00,15,5h 59m,6h 53m,3/6 23:26:00,6.97,McGrath,2018-03-07T06:19:00Z,2018-03-07T12:18:00Z,2018-03-06T23:26:00Z,413,359,0,0,35,36
Bradley Farquhar,65,3/7 06:12:00,13,3/7 12:19:00,12,6h 7m,7h 37m,3/6 22:35:00,6.3,McGrath,2018-03-07T06:12:00Z,2018-03-07T12:19:00Z,2018-03-06T22:35:00Z,457,367,1,0,34,44
Andy Pohl,12,3/7 06:51:00,15,3/7 12:20:00,15,5h 29m,7h 19m,3/6 23:32:00,6.56,McGrath,2018-03-07T06:51:00Z,2018-03-07T12:20:00Z,2018-03-06T23:32:00Z,439,329,0,0,37,37
Allen Moore,26,3/7 10:24:00,14,3/7 13:51:00,14,3h 27m,6h 58m,3/7 03:26:00,6.89,McGrath,2018-03-07T10:24:00Z,2018-03-07T13:51:00Z,2018-03-07T03:26:00Z,418,207,0,0,40,NA
Monica Zappa,48,3/7 13:52:00,15,3/7 18:46:00,15,4h 54m,6h 14m,3/7 07:38:00,7.7,McGrath,2018-03-07T13:52:00Z,2018-03-07T18:46:00Z,2018-03-07T07:38:00Z,374,294,0,0,47,38
Shaynee Traska,5,3/7 20:08:00,16,3/7 20:31:00,15,0h 23m,10h 33m,3/7 09:35:00,4.55,McGrath,2018-03-07T20:08:00Z,2018-03-07T20:31:00Z,2018-03-07T09:35:00Z,633,23,1,0,54,48
Nicolas Petit,46,3/6 20:37:00,15,3/7 21:21:00,14,24h 44m,7h 16m,3/6 13:21:00,6.61,McGrath,2018-03-06T20:37:00Z,2018-03-07T21:21:00Z,2018-03-06T13:21:00Z,436,1484,1,1,3,2
Aaron Burmeister,64,3/6 21:39:00,15,3/7 21:47:00,15,24h 8m,8h 12m,3/6 13:27:00,5.85,McGrath,2018-03-06T21:39:00Z,2018-03-07T21:47:00Z,2018-03-06T13:27:00Z,492,1448,0,1,7,12
Wade Marrs,11,3/6 21:02:00,15,3/7 22:56:00,15,25h 54m,7h 31m,3/6 13:31:00,6.39,McGrath,2018-03-06T21:02:00Z,2018-03-07T22:56:00Z,2018-03-06T13:31:00Z,451,1554,0,1,4,NA
Dave Delcourt,57,3/7 23:11:00,14,3/7 23:12:00,14,0h 1m,10h 21m,3/7 12:50:00,4.64,McGrath,2018-03-07T23:11:00Z,2018-03-07T23:12:00Z,2018-03-07T12:50:00Z,621,1,0,0,59,47
